Value,Frequency
27,16
28,24
29,13
30,13
31,6
32,10
33,6
34,15
35,31
36,23
37,30
38,10
39,6
40,7
41,7
42,4
43,10
44,14
45,23
46,18
47,31
48,25
49,36
50,22
51,13
52,9
53,18
54,19
55,21
56,23
57,28
58,6
59,12
60,23
61,28
62,16
63,18
64,21
65,24
66,14
67,6
68,4
69,13
70,12
71,22
72,13
73,13
74,33
75,38
76,21
77,26
78,17
79,12
80,24
81,20
82,14
83,17
84,20
85,12
86,19
87,14
88,11
89,6
90,17
91,12
92,6
93,8
94,16
95,16
96,16
97,8
98,9
99,16
100,12
101,11
102,4
103,2
104,1
105,2
106,3
107,1
108,6
109,1
110,1
112,1
113,1
114,3
115,1
116,1
117,1
118,2
