Value,Frequency
12,1
219,1
220,1
221,1
222,1
225,2
226,1
227,4
228,1
229,2
231,2
232,3
233,1
234,2
235,1
236,4
237,3
238,3
239,1
240,9
241,6
242,7
243,4
244,9
245,8
246,2
247,5
248,4
249,3
250,5
251,5
252,5
253,4
254,2
255,2
256,4
257,4
258,4
259,7
260,3
261,6
262,8
263,10
264,10
265,9
266,13
267,12
268,10
269,13
270,7
271,8
272,7
273,1
274,3
275,3
276,1
277,4
278,3
279,3
280,2
281,14
282,9
283,8
284,4
285,5
286,9
287,7
288,10
289,12
290,7
291,11
292,18
293,8
294,10
295,10
296,12
297,13
298,12
299,9
300,14
301,7
302,17
303,7
304,27
305,14
306,14
307,10
308,15
309,10
310,8
311,9
312,12
313,9
314,8
315,5
316,5
317,4
318,4
319,2
320,5
321,4
322,4
323,4
324,1
325,2
327,3
328,1
329,1
330,3
331,2
332,3
333,4
334,2
335,4
336,2
337,2
338,4
339,4
340,1
341,5
342,3
343,1
344,3
345,2
346,4
347,2
348,1
349,1
350,2
351,3
352,3
353,2
354,3
355,1
356,2
357,2
358,1
359,1
360,2
361,5
363,2
365,1
366,2
367,3
370,5
371,2
374,3
375,1
376,3
377,5
378,1
379,3
380,2
382,4
383,1
385,1
386,1
387,1
388,1
389,1
390,1
391,4
392,3
393,2
395,4
396,1
397,1
399,6
400,2
401,3
402,2
403,2
404,2
406,8
407,2
408,1
411,2
412,1
413,2
414,1
416,1
417,3
418,1
421,1
425,1
426,1
427,3
428,1
429,2
430,3
431,3
432,3
433,2
434,2
435,6
436,6
437,8
438,2
439,5
440,4
441,5
442,6
443,8
444,3
445,4
446,9
447,4
448,1
450,2
451,4
452,2
453,7
454,1
455,1
456,1
457,1
458,1
460,2
461,1
462,1
497,1
503,1
504,1
505,1
506,2
508,3
510,2
511,2
513,2
514,2
515,2
516,4
517,2
518,1
519,2
521,3
526,2
527,2
528,4
529,1
530,2
531,2
532,3
533,2
534,4
536,2
537,5
538,4
539,1
540,3
541,4
542,1
543,2
544,1
545,2
546,1
547,3
548,3
549,2
550,2
551,5
553,3
554,2
555,5
556,4
557,6
558,4
559,5
560,5
561,2
562,4
563,1
564,5
565,2
566,3
567,1
568,4
569,2
570,3
571,5
572,1
573,3
574,3
575,3
576,3
577,5
578,2
579,2
580,7
581,3
582,1
583,1
584,4
585,10
586,2
587,4
588,1
589,3
590,3
591,6
592,5
593,6
595,7
596,2
597,1
598,2
599,3
600,4
601,3
602,5
603,4
604,1
606,2
607,1
608,1
609,2
610,2
611,2
