Value,Frequency
122,5
123,13
124,11
125,18
126,21
127,30
128,36
129,31
130,23
131,16
132,3
133,1
134,3
135,3
136,1
137,2
138,3
139,3
140,6
141,4
142,4
143,5
144,18
145,10
146,6
147,6
148,3
149,1
150,1
153,1
154,2
155,3
157,1
158,4
159,2
160,8
161,15
162,23
163,25
164,22
165,14
166,6
167,10
168,8
169,9
170,7
171,10
172,7
173,5
174,14
175,9
176,10
177,13
178,12
179,11
180,16
181,25
182,21
183,28
184,25
185,43
186,29
187,29
188,27
189,29
190,32
191,32
192,57
193,39
194,32
195,25
196,21
197,16
198,14
199,19
200,19
201,8
202,7
203,19
204,18
205,15
206,14
207,15
208,10
209,9
210,9
211,7
212,5
213,5
214,2
