Value,Frequency
15,2
16,11
17,38
18,65
19,69
20,49
21,67
22,46
23,30
24,43
25,69
26,82
27,72
28,41
29,42
30,16
31,17
62,1
63,4
66,1
67,3
68,5
69,12
70,6
71,6
72,6
73,4
74,5
75,5
76,5
77,5
78,7
79,4
80,6
81,8
82,10
83,6
84,13
85,8
86,5
87,7
88,11
89,8
90,14
91,7
92,4
93,8
94,6
95,6
96,2
97,10
98,9
99,3
100,10
101,7
102,11
103,20
104,12
105,11
106,5
107,9
108,8
109,8
110,10
111,7
112,5
113,10
114,6
115,14
116,13
117,12
118,9
119,8
120,9
121,16
122,8
123,4
124,8
125,4
126,6
127,3
128,4
129,2
130,3
132,4
133,2
134,1
135,1
