Date,Open,High,Low,Close,Volume
26-Nov-14,117.94,119.10,117.83,119.00,40831886
25-Nov-14,119.07,119.75,117.45,117.60,68840440
24-Nov-14,116.85,118.77,116.62,118.62,47450824
21-Nov-14,117.51,117.57,116.03,116.47,57179298
20-Nov-14,114.91,116.86,114.85,116.31,43395537
19-Nov-14,115.44,115.74,113.80,114.67,41869160
18-Nov-14,113.94,115.69,113.89,115.47,44223978
17-Nov-14,114.27,117.28,113.30,113.99,46746712
14-Nov-14,113.15,114.19,113.05,114.18,44063595
13-Nov-14,111.80,113.45,111.60,112.82,59522855
12-Nov-14,109.38,111.43,109.37,111.25,46942431
11-Nov-14,108.70,109.75,108.40,109.70,27442252
10-Nov-14,109.02,109.33,108.67,108.83,27195547
7-Nov-14,108.75,109.32,108.55,109.01,33691535
6-Nov-14,108.60,108.79,107.80,108.70,34968457
5-Nov-14,109.10,109.30,108.12,108.86,37435905
4-Nov-14,109.36,109.49,107.72,108.60,41574365
3-Nov-14,108.22,110.30,108.01,109.40,52282550
31-Oct-14,108.01,108.04,107.21,108.00,44639285
30-Oct-14,106.96,107.35,105.90,106.98,40654793
29-Oct-14,106.65,107.37,106.36,107.34,52687879
28-Oct-14,105.40,106.74,105.35,106.74,48060949
27-Oct-14,104.85,105.48,104.70,105.11,34187701
24-Oct-14,105.18,105.49,104.53,105.22,47053916
23-Oct-14,104.08,105.05,103.63,104.83,71074674
22-Oct-14,102.84,104.11,102.60,102.99,68263146
21-Oct-14,103.02,103.02,101.27,102.47,94623904
20-Oct-14,98.32,99.96,98.22,99.76,77517279
17-Oct-14,97.50,99.00,96.81,97.67,68179688
16-Oct-14,95.55,97.72,95.41,96.26,72154523
15-Oct-14,97.97,99.15,95.18,97.54,100933600
14-Oct-14,100.39,100.52,98.57,98.75,63688562
13-Oct-14,101.33,101.78,99.81,99.81,53583368
10-Oct-14,100.69,102.03,100.30,100.73,66331592
9-Oct-14,101.54,102.38,100.61,101.02,77376525
8-Oct-14,98.76,101.11,98.31,100.80,57404674
7-Oct-14,99.43,100.12,98.73,98.75,42094183
6-Oct-14,99.95,100.65,99.42,99.62,37051182
3-Oct-14,99.44,100.21,99.04,99.62,43469585
2-Oct-14,99.27,100.22,98.04,99.90,47757828
1-Oct-14,100.59,100.69,98.70,99.18,51491286
30-Sep-14,100.81,101.54,100.53,100.75,55264139
29-Sep-14,98.65,100.44,98.63,100.11,49766312
26-Sep-14,98.53,100.75,98.40,100.75,62370501
25-Sep-14,100.51,100.71,97.72,97.87,100091990
24-Sep-14,102.16,102.85,101.20,101.75,60171828
23-Sep-14,100.60,102.94,100.54,102.64,63402196
22-Sep-14,101.80,102.14,100.58,101.06,52788426
19-Sep-14,102.29,102.35,100.88,100.96,70902406
18-Sep-14,101.93,102.35,101.56,101.79,37299435
17-Sep-14,101.27,101.80,100.59,101.58,60926498
16-Sep-14,99.80,101.26,98.89,100.86,66908133
15-Sep-14,102.81,103.05,101.44,101.63,61316516
12-Sep-14,101.21,102.19,101.08,101.66,64096903
11-Sep-14,100.41,101.44,99.62,101.43,62399743
10-Sep-14,98.01,101.11,97.76,101.00,100869587
9-Sep-14,99.08,103.08,96.14,97.99,189846255
8-Sep-14,99.30,99.31,98.05,98.36,46356742
5-Sep-14,98.80,99.39,98.31,98.97,58457035
4-Sep-14,98.85,100.09,97.79,98.12,85718221
3-Sep-14,103.10,103.20,98.58,98.94,125420521
2-Sep-14,103.06,103.74,102.72,103.30,53564262
29-Aug-14,102.86,102.90,102.20,102.50,44595247
28-Aug-14,102.13,102.78,101.56,102.25,68459801
27-Aug-14,101.02,102.57,100.70,102.13,52369011
26-Aug-14,101.42,101.50,100.86,100.89,33151984
25-Aug-14,101.79,102.17,101.28,101.54,40270173
22-Aug-14,100.29,101.47,100.19,101.32,44183834
21-Aug-14,100.57,100.94,100.11,100.58,33478198
20-Aug-14,100.44,101.09,99.95,100.57,52699192
19-Aug-14,99.41,100.68,99.32,100.53,69399270
18-Aug-14,98.49,99.37,97.98,99.16,47572413
15-Aug-14,97.90,98.19,96.86,97.98,48951331
14-Aug-14,97.33,97.57,96.80,97.50,28115566
13-Aug-14,96.15,97.24,96.04,97.24,31916439
12-Aug-14,96.04,96.88,95.61,95.97,33795352
11-Aug-14,95.27,96.08,94.84,95.99,36584844
8-Aug-14,94.26,94.82,93.28,94.74,41865193
7-Aug-14,94.93,95.95,94.10,94.48,46711179
6-Aug-14,94.75,95.48,94.71,94.96,38558342
5-Aug-14,95.36,95.68,94.36,95.12,55932663
4-Aug-14,96.37,96.58,95.17,95.59,39958144
1-Aug-14,94.90,96.62,94.81,96.13,48511286
31-Jul-14,97.16,97.45,95.33,95.60,56842647
30-Jul-14,98.44,98.70,97.67,98.15,33010001
29-Jul-14,99.33,99.44,98.25,98.38,43143095
28-Jul-14,97.82,99.24,97.55,99.02,55317689
25-Jul-14,96.85,97.84,96.64,97.67,43469117
24-Jul-14,97.04,97.32,96.42,97.03,45728843
23-Jul-14,95.42,97.88,95.17,97.19,92917719
22-Jul-14,94.68,94.89,94.12,94.72,55196597
21-Jul-14,94.99,95.00,93.72,93.94,39079002
18-Jul-14,93.62,94.74,93.02,94.43,49987593
17-Jul-14,95.03,95.28,92.57,93.09,57298243
16-Jul-14,96.97,97.10,94.74,94.78,53502415
15-Jul-14,96.80,96.85,95.03,95.32,45696176
14-Jul-14,95.86,96.89,95.65,96.45,42810155
11-Jul-14,95.36,95.89,94.86,95.22,34018228
10-Jul-14,93.76,95.55,93.52,95.04,39685552
9-Jul-14,95.44,95.95,94.76,95.39,36436440
8-Jul-14,96.27,96.80,93.92,95.35,65221678
7-Jul-14,94.14,95.99,94.10,95.97,56467939
3-Jul-14,93.67,94.10,93.20,94.03,22891753
2-Jul-14,93.86,94.06,93.09,93.48,28465073
1-Jul-14,93.52,94.07,93.13,93.52,38223477
30-Jun-14,92.10,93.72,92.09,92.93,49589028
27-Jun-14,90.82,92.00,90.77,91.98,64028803
26-Jun-14,90.37,91.05,89.80,90.90,32629359
25-Jun-14,90.21,90.70,89.65,90.36,36868541
24-Jun-14,90.75,91.74,90.19,90.28,39036087
23-Jun-14,91.32,91.62,90.60,90.83,43694391
20-Jun-14,91.85,92.55,90.90,90.91,100898066
19-Jun-14,92.29,92.30,91.34,91.86,35527686
18-Jun-14,92.27,92.29,91.35,92.18,33514108
17-Jun-14,92.31,92.70,91.80,92.08,29726347
16-Jun-14,91.51,92.75,91.45,92.20,35561270
13-Jun-14,92.20,92.44,90.88,91.28,54525280
12-Jun-14,94.04,94.12,91.90,92.29,54748791
11-Jun-14,94.13,94.76,93.47,93.86,45681114
10-Jun-14,94.73,95.05,93.57,94.25,62777042
9-Jun-14,92.70,93.88,91.75,93.70,75414804
6-Jun-14,92.84,93.04,92.07,92.22,87620911
