# Date,aapl,dia,dis,f,googl,ibm,ko,nyt,sso,ssys,tm,tri,vz
27-Nov-09,28.0,102.0,30.0,8.0,288.0,125.0,28.0,8.0,18.0,18.0,76.0,30.0,31.0
30-Nov-09,28.0,103.0,30.0,8.0,290.0,125.0,28.0,8.0,18.0,18.0,78.0,31.0,31.0
1-Dec-09,28.0,104.0,30.0,8.0,294.0,127.0,28.0,8.0,18.0,18.0,80.0,32.0,31.0
2-Dec-09,28.0,104.0,30.0,8.0,295.0,127.0,28.0,8.0,18.0,18.0,81.0,32.0,32.0
3-Dec-09,28.0,104.0,30.0,9.0,294.0,127.0,28.0,8.0,18.0,18.0,84.0,32.0,32.0
4-Dec-09,27.0,104.0,30.0,8.0,294.0,127.0,28.0,8.0,18.0,18.0,84.0,32.0,32.0
7-Dec-09,27.0,104.0,31.0,8.0,292.0,127.0,28.0,8.0,18.0,18.0,83.0,32.0,33.0
8-Dec-09,27.0,102.0,30.0,8.0,293.0,126.0,28.0,8.0,18.0,18.0,83.0,32.0,33.0
9-Dec-09,27.0,103.0,30.0,8.0,293.0,127.0,28.0,8.0,18.0,18.0,83.0,32.0,33.0
10-Dec-09,28.0,104.0,31.0,8.0,296.0,128.0,29.0,9.0,18.0,18.0,83.0,32.0,33.0
11-Dec-09,27.0,104.0,31.0,9.0,296.0,129.0,29.0,9.0,18.0,18.0,84.0,32.0,33.0
14-Dec-09,27.0,105.0,31.0,9.0,297.0,129.0,29.0,9.0,19.0,19.0,83.0,32.0,33.0
15-Dec-09,27.0,104.0,31.0,9.0,297.0,128.0,29.0,9.0,18.0,18.0,82.0,32.0,33.0
16-Dec-09,27.0,104.0,32.0,9.0,299.0,128.0,29.0,10.0,19.0,19.0,84.0,32.0,32.0
17-Dec-09,27.0,103.0,32.0,9.0,298.0,127.0,28.0,10.0,18.0,18.0,83.0,31.0,32.0
18-Dec-09,27.0,103.0,31.0,9.0,298.0,127.0,28.0,10.0,18.0,18.0,82.0,31.0,32.0
21-Dec-09,28.0,103.0,32.0,9.0,299.0,128.0,28.0,10.0,19.0,19.0,82.0,31.0,33.0
22-Dec-09,28.0,104.0,32.0,9.0,300.0,129.0,28.0,10.0,19.0,19.0,83.0,31.0,33.0
23-Dec-09,28.0,104.0,32.0,10.0,304.0,129.0,28.0,11.0,19.0,19.0,83.0,31.0,33.0
24-Dec-09,29.0,104.0,32.0,10.0,308.0,130.0,28.0,12.0,19.0,19.0,84.0,32.0,33.0
28-Dec-09,30.0,105.0,32.0,10.0,311.0,131.0,28.0,12.0,19.0,19.0,84.0,32.0,33.0
29-Dec-09,30.0,105.0,32.0,10.0,311.0,132.0,28.0,12.0,19.0,19.0,84.0,32.0,33.0
30-Dec-09,30.0,105.0,32.0,10.0,310.0,131.0,28.0,12.0,19.0,19.0,84.0,31.0,33.0
31-Dec-09,30.0,104.0,32.0,10.0,311.0,131.0,28.0,12.0,19.0,19.0,84.0,32.0,33.0
4-Jan-10,30.0,105.0,32.0,10.0,313.0,131.0,28.0,12.0,19.0,19.0,84.0,32.0,33.0
5-Jan-10,30.0,105.0,31.0,10.0,312.0,131.0,28.0,13.0,19.0,19.0,83.0,32.0,33.0
6-Jan-10,30.0,105.0,31.0,11.0,308.0,130.0,28.0,13.0,19.0,19.0,84.0,33.0,32.0
7-Jan-10,30.0,105.0,31.0,11.0,301.0,129.0,28.0,13.0,19.0,19.0,83.0,33.0,31.0
8-Jan-10,30.0,105.0,31.0,11.0,298.0,129.0,27.0,14.0,20.0,20.0,85.0,33.0,31.0
11-Jan-10,30.0,106.0,31.0,11.0,300.0,130.0,27.0,14.0,20.0,20.0,86.0,33.0,31.0
12-Jan-10,29.0,106.0,30.0,11.0,297.0,129.0,28.0,14.0,19.0,19.0,89.0,33.0,31.0
13-Jan-10,29.0,106.0,31.0,11.0,291.0,130.0,28.0,13.0,20.0,20.0,89.0,33.0,31.0
14-Jan-10,29.0,106.0,31.0,11.0,294.0,131.0,28.0,13.0,20.0,20.0,90.0,33.0,31.0
15-Jan-10,29.0,106.0,30.0,11.0,293.0,131.0,28.0,13.0,19.0,19.0,91.0,33.0,30.0
19-Jan-10,30.0,106.0,30.0,11.0,292.0,132.0,28.0,13.0,20.0,20.0,91.0,33.0,30.0
20-Jan-10,30.0,106.0,31.0,11.0,291.0,130.0,27.0,13.0,19.0,19.0,89.0,32.0,30.0
21-Jan-10,30.0,104.0,30.0,11.0,290.0,129.0,27.0,13.0,19.0,19.0,90.0,32.0,30.0
22-Jan-10,28.0,102.0,30.0,10.0,277.0,127.0,27.0,12.0,18.0,18.0,88.0,31.0,30.0
25-Jan-10,28.0,102.0,29.0,10.0,271.0,126.0,27.0,12.0,18.0,18.0,87.0,32.0,30.0
26-Jan-10,29.0,102.0,29.0,11.0,271.0,126.0,27.0,12.0,18.0,18.0,86.0,32.0,30.0
27-Jan-10,29.0,101.0,29.0,11.0,271.0,126.0,27.0,13.0,18.0,18.0,80.0,32.0,29.0
28-Jan-10,28.0,101.0,29.0,11.0,269.0,125.0,27.0,13.0,18.0,18.0,78.0,33.0,29.0
29-Jan-10,28.0,101.0,29.0,11.0,267.0,123.0,27.0,13.0,18.0,18.0,77.0,33.0,29.0
1-Feb-10,27.0,101.0,29.0,11.0,266.0,123.0,27.0,12.0,18.0,18.0,79.0,33.0,29.0
2-Feb-10,27.0,102.0,29.0,11.0,266.0,125.0,27.0,12.0,18.0,18.0,79.0,34.0,29.0
3-Feb-10,28.0,102.0,30.0,11.0,267.0,125.0,27.0,12.0,18.0,18.0,74.0,34.0,29.0
4-Feb-10,27.0,101.0,30.0,11.0,266.0,124.0,27.0,12.0,17.0,17.0,72.0,33.0,28.0
5-Feb-10,27.0,99.0,29.0,10.0,264.0,123.0,26.0,11.0,17.0,17.0,73.0,33.0,28.0
8-Feb-10,27.0,99.0,29.0,11.0,267.0,122.0,26.0,11.0,17.0,17.0,73.0,33.0,28.0
9-Feb-10,28.0,100.0,29.0,11.0,269.0,123.0,27.0,11.0,17.0,17.0,74.0,33.0,28.0
10-Feb-10,27.0,100.0,29.0,11.0,267.0,122.0,27.0,11.0,17.0,17.0,75.0,34.0,28.0
11-Feb-10,28.0,100.0,30.0,11.0,267.0,123.0,26.0,10.0,17.0,17.0,75.0,34.0,28.0
12-Feb-10,28.0,100.0,30.0,11.0,266.0,123.0,26.0,10.0,17.0,17.0,76.0,34.0,28.0
16-Feb-10,28.0,102.0,30.0,11.0,269.0,124.0,27.0,11.0,18.0,18.0,76.0,35.0,29.0
17-Feb-10,29.0,103.0,30.0,11.0,270.0,125.0,27.0,11.0,18.0,18.0,74.0,35.0,29.0
18-Feb-10,28.0,28.0,30.0,11.0,270.0,126.0,27.0,11.0,18.0,18.0,73.0,35.0,29.0
19-Feb-10,28.0,103.0,31.0,11.0,270.0,127.0,27.0,11.0,18.0,18.0,73.0,35.0,29.0
22-Feb-10,28.0,104.0,31.0,11.0,272.0,126.0,27.0,10.0,18.0,18.0,73.0,35.0,29.0
23-Feb-10,28.0,103.0,31.0,11.0,269.0,126.0,27.0,10.0,18.0,18.0,72.0,35.0,28.0
24-Feb-10,28.0,103.0,31.0,11.0,267.0,127.0,27.0,10.0,18.0,18.0,73.0,34.0,28.0
