Date,Open,High,Low,Close,Volume
26-Nov-14,177.96,178.09,177.65,178.01,3005627
25-Nov-14,178.16,178.19,177.56,177.96,5510449
24-Nov-14,178.13,178.22,177.59,177.80,2408710
21-Nov-14,178.52,178.60,177.28,177.70,4781965
20-Nov-14,176.11,177.28,176.03,177.25,2881685
19-Nov-14,176.85,177.19,176.29,176.93,4011447
18-Nov-14,176.53,177.38,176.45,176.96,4721709
17-Nov-14,176.06,176.76,176.00,176.49,3668944
14-Nov-14,176.36,176.65,176.12,176.35,3521129
13-Nov-14,176.25,176.98,175.79,176.44,6508365
12-Nov-14,175.26,176.20,175.25,176.04,2836489
11-Nov-14,175.98,176.24,175.69,176.02,3192666
10-Nov-14,175.62,176.06,175.33,175.95,2941925
7-Nov-14,175.24,175.60,174.77,175.58,4018111
6-Nov-14,174.75,175.41,174.18,175.29,7191719
5-Nov-14,174.59,174.62,173.71,174.55,5286216
4-Nov-14,173.08,173.65,172.46,173.46,6465952
3-Nov-14,173.57,173.78,173.05,173.36,5386924
31-Oct-14,173.34,173.63,172.79,173.45,7563762
30-Oct-14,169.63,171.94,169.60,171.60,7449244
29-Oct-14,170.01,170.34,168.61,169.40,7587316
28-Oct-14,168.48,169.69,168.14,169.66,5441960
27-Oct-14,167.23,168.06,166.97,167.88,5063687
24-Oct-14,166.60,167.79,166.17,167.74,5733928
23-Oct-14,166.05,167.36,166.01,166.45,7032521
22-Oct-14,166.17,166.23,164.28,164.38,6030932
21-Oct-14,164.45,165.87,164.12,165.80,8999009
20-Oct-14,162.35,163.68,162.25,163.65,7165208
17-Oct-14,162.68,163.95,162.21,163.45,11730201
16-Oct-14,159.00,161.95,158.73,160.98,18932353
15-Oct-14,161.19,161.85,158.27,161.28,24976691
14-Oct-14,163.67,164.41,162.50,163.03,13634363
13-Oct-14,165.09,165.79,162.84,162.93,14116961
10-Oct-14,166.39,167.36,165.21,165.21,12717759
9-Oct-14,169.16,169.48,166.20,166.34,13390612
8-Oct-14,166.87,169.82,166.35,169.62,8895708
7-Oct-14,168.73,168.94,166.86,166.86,7130002
6-Oct-14,170.44,170.69,168.96,169.57,5315315
3-Oct-14,168.89,169.97,168.37,169.72,5589110
2-Oct-14,167.39,168.27,166.43,167.65,9093707
1-Oct-14,169.91,169.98,167.42,167.68,11030604
30-Sep-14,170.45,171.10,169.80,170.07,5496439
29-Sep-14,169.18,170.58,168.94,170.33,5170197
26-Sep-14,169.79,171.13,169.50,170.70,6063449
25-Sep-14,171.50,171.53,169.09,169.17,8911865
24-Sep-14,170.36,171.90,169.98,171.79,5815707
23-Sep-14,170.85,171.38,170.21,170.21,5523151
22-Sep-14,172.35,172.38,171.22,171.41,4898383
19-Sep-14,173.00,173.32,172.19,172.45,9342500
18-Sep-14,172.01,172.80,171.90,172.61,6459542
17-Sep-14,171.57,172.25,170.93,171.58,8498822
16-Sep-14,169.96,171.71,169.89,171.38,5950278
15-Sep-14,170.06,170.57,169.55,170.32,5131633
12-Sep-14,170.38,170.44,169.40,169.90,5000985
11-Sep-14,169.89,170.62,169.82,170.51,3026406
10-Sep-14,170.17,170.81,169.71,170.67,4595967
9-Sep-14,170.79,170.84,169.89,170.12,4255228
8-Sep-14,171.04,171.35,170.75,171.06,3142466
5-Sep-14,170.52,171.29,170.01,171.25,3403608
4-Sep-14,170.91,171.56,170.22,170.66,3761576
3-Sep-14,171.38,171.48,170.53,170.72,2847495
2-Sep-14,170.94,171.07,170.04,170.58,3458655
29-Aug-14,170.90,171.00,170.25,170.88,3280263
28-Aug-14,170.40,170.88,170.10,170.77,2781898
27-Aug-14,171.15,171.21,170.75,171.01,5163143
26-Aug-14,170.82,171.35,170.78,170.93,3581363
25-Aug-14,170.56,171.06,170.44,170.62,2589968
22-Aug-14,170.01,170.48,169.65,169.87,5152335
21-Aug-14,169.81,170.53,169.69,170.18,2652896
20-Aug-14,168.72,169.74,168.72,169.60,3108856
19-Aug-14,168.64,169.02,168.33,168.89,3057442
18-Aug-14,167.25,168.12,167.23,168.06,2976485
15-Aug-14,167.42,167.46,165.44,166.35,7032489
14-Aug-14,166.69,167.10,166.46,167.10,2752417
13-Aug-14,166.00,166.66,165.76,166.49,2843964
12-Aug-14,165.28,165.77,165.00,165.49,3274277
11-Aug-14,165.96,166.15,165.47,165.55,5764166
