Date,Open,High,Low,Close,Volume
26-Nov-14,91.96,92.28,91.67,91.92,4607258
25-Nov-14,90.71,91.92,90.71,91.65,7404151
24-Nov-14,89.32,90.66,89.32,90.58,6504104
21-Nov-14,89.69,89.80,88.76,88.96,7383521
20-Nov-14,89.25,89.46,88.75,88.90,8603976
19-Nov-14,90.26,90.28,89.18,89.82,7709962
18-Nov-14,90.33,90.69,90.13,90.28,4466404
17-Nov-14,90.50,90.78,90.05,90.41,4148400
14-Nov-14,90.68,90.85,90.38,90.80,4281140
13-Nov-14,90.10,90.71,90.03,90.49,5098761
12-Nov-14,89.77,90.12,89.33,89.90,5262460
11-Nov-14,90.01,90.03,89.13,89.98,5896789
10-Nov-14,90.24,90.42,88.95,89.78,8155734
7-Nov-14,89.39,90.02,88.65,90.00,16176328
6-Nov-14,91.29,92.00,91.15,92.00,9938826
5-Nov-14,91.60,91.60,89.59,91.00,7020959
4-Nov-14,91.97,91.98,89.80,90.35,7928517
3-Nov-14,91.24,91.82,91.00,91.71,5447877
31-Oct-14,91.51,91.98,90.75,91.38,7472216
30-Oct-14,89.44,90.54,88.91,90.22,4445329
29-Oct-14,89.84,90.25,88.95,89.53,5442103
28-Oct-14,89.04,89.96,88.95,89.93,4554351
27-Oct-14,88.47,88.99,88.24,88.45,5644486
24-Oct-14,87.91,88.66,87.58,88.61,4937482
23-Oct-14,88.21,88.63,87.76,87.99,7245328
22-Oct-14,87.94,88.61,86.98,87.10,9314515
21-Oct-14,86.32,87.68,86.25,87.54,9170356
20-Oct-14,84.23,85.61,84.14,85.52,8306147
17-Oct-14,82.68,84.66,82.68,83.83,12386547
16-Oct-14,79.93,82.47,79.55,81.74,13216697
15-Oct-14,82.39,83.76,78.54,82.08,21844427
14-Oct-14,84.75,85.52,83.90,84.14,8607117
13-Oct-14,85.92,86.39,83.76,83.91,9039814
10-Oct-14,85.92,87.00,85.40,86.27,12675546
9-Oct-14,88.03,88.16,85.57,85.71,8727122
8-Oct-14,87.06,88.15,86.33,88.11,7007965
7-Oct-14,88.00,88.26,87.04,87.11,6225508
6-Oct-14,88.79,89.18,88.07,88.56,4051853
3-Oct-14,88.10,88.90,87.55,88.45,7552890
2-Oct-14,87.50,87.66,84.65,86.79,11051144
1-Oct-14,89.08,89.24,87.20,87.49,7512499
30-Sep-14,88.84,89.54,88.54,89.03,4832868
29-Sep-14,88.12,89.04,87.36,88.83,5190828
26-Sep-14,88.15,88.89,87.91,88.74,5796117
25-Sep-14,89.26,89.60,88.06,88.07,7081657
24-Sep-14,88.36,89.64,88.24,89.45,5616214
23-Sep-14,89.12,89.24,88.23,88.31,6155770
22-Sep-14,90.49,90.61,89.19,89.29,5003007
19-Sep-14,90.80,91.15,90.39,90.49,13382935
18-Sep-14,90.31,90.50,89.91,90.34,4343618
17-Sep-14,90.58,90.77,89.97,90.33,4058070
16-Sep-14,89.71,90.43,89.46,90.27,4333970
