Date,Open,High,Low,Close,Volume
26-Nov-14,15.65,15.68,15.52,15.61,20010508
25-Nov-14,15.74,15.84,15.61,15.68,32253458
24-Nov-14,15.51,15.69,15.50,15.67,32797852
21-Nov-14,15.64,15.65,15.37,15.43,25609597
20-Nov-14,15.37,15.65,15.28,15.46,21163158
19-Nov-14,15.48,15.48,15.26,15.44,22633528
18-Nov-14,15.70,15.75,15.25,15.50,43650757
17-Nov-14,15.35,15.60,15.20,15.54,46517259
14-Nov-14,15.01,15.26,14.98,15.14,37093171
13-Nov-14,14.71,15.17,14.70,14.93,50292272
12-Nov-14,14.32,14.63,14.26,14.58,36221067
11-Nov-14,14.05,14.43,14.00,14.37,35345623
10-Nov-14,14.19,14.20,13.95,14.00,36413339
7-Nov-14,14.22,14.27,14.13,14.17,30254740
6-Nov-14,13.92,14.22,13.92,14.19,36431748
5-Nov-14,14.03,14.05,13.87,13.94,26042808
4-Nov-14,13.94,14.00,13.86,13.95,19695724
3-Nov-14,14.10,14.17,13.94,13.99,31589885
31-Oct-14,14.13,14.15,14.04,14.09,37277819
30-Oct-14,13.88,13.96,13.68,13.95,25505958
29-Oct-14,14.14,14.18,13.76,13.91,31263938
28-Oct-14,13.89,14.16,13.86,14.16,36821785
27-Oct-14,13.87,13.89,13.68,13.82,61472177
24-Oct-14,14.41,14.44,13.65,13.78,91944005
23-Oct-14,14.30,14.49,14.28,14.40,30418358
22-Oct-14,14.29,14.33,14.08,14.13,24285220
21-Oct-14,14.26,14.28,14.10,14.26,29926800
20-Oct-14,14.04,14.18,13.95,14.17,18972604
17-Oct-14,14.20,14.25,13.97,14.02,31547970
16-Oct-14,13.39,14.06,13.36,13.98,41382155
15-Oct-14,13.59,13.77,13.26,13.62,46496966
14-Oct-14,13.60,14.04,13.54,13.78,43397327
13-Oct-14,13.78,13.88,13.52,13.54,37691699
10-Oct-14,13.71,13.92,13.52,13.79,41079514
9-Oct-14,14.21,14.22,13.80,13.84,31768462
8-Oct-14,14.07,14.24,13.62,14.21,50319286
7-Oct-14,14.47,14.49,14.08,14.10,42850710
6-Oct-14,14.66,14.70,14.50,14.52,23974313
3-Oct-14,14.66,14.69,14.50,14.59,38177484
2-Oct-14,14.66,14.67,14.44,14.56,37788366
1-Oct-14,14.77,14.83,14.56,14.59,55948262
30-Sep-14,15.01,15.15,14.49,14.79,115056660
29-Sep-14,16.15,16.40,14.83,15.11,82938687
26-Sep-14,16.23,16.33,16.18,16.33,20432094
25-Sep-14,16.40,16.40,16.17,16.20,19054868
24-Sep-14,16.24,16.45,16.24,16.41,22021636
23-Sep-14,16.31,16.35,16.14,16.17,28285137
22-Sep-14,16.58,16.61,16.34,16.36,23800260
19-Sep-14,16.68,16.77,16.58,16.65,35008506
18-Sep-14,16.54,16.65,16.50,16.58,19453018
17-Sep-14,16.59,16.70,16.52,16.53,25366299
16-Sep-14,16.38,16.53,16.16,16.52,23772607
15-Sep-14,16.56,16.62,16.42,16.47,23691587
12-Sep-14,16.64,16.68,16.50,16.59,16512713
11-Sep-14,16.59,16.67,16.51,16.66,14670061
10-Sep-14,16.65,16.72,16.61,16.63,16644382
9-Sep-14,16.79,16.82,16.59,16.63,26656592
8-Sep-14,16.74,16.87,16.71,16.80,47565253
5-Sep-14,17.30,17.30,16.94,17.14,29801662
4-Sep-14,17.46,17.63,17.19,17.27,20733686
3-Sep-14,17.71,17.87,17.44,17.47,25723888
2-Sep-14,17.48,17.62,17.48,17.60,18538339
29-Aug-14,17.47,17.49,17.39,17.41,15374784
28-Aug-14,17.27,17.45,17.21,17.42,16855014
27-Aug-14,17.23,17.40,17.21,17.36,18221103
26-Aug-14,17.26,17.35,17.19,17.19,12167204
25-Aug-14,17.21,17.29,17.20,17.23,10770252
22-Aug-14,17.32,17.39,17.15,17.17,20294769
21-Aug-14,17.43,17.49,17.37,17.40,15051296
20-Aug-14,17.35,17.43,17.25,17.41,14207276
19-Aug-14,17.51,17.52,17.32,17.36,15899353
18-Aug-14,17.38,17.52,17.38,17.43,17174948
15-Aug-14,17.49,17.49,17.17,17.31,20959569
14-Aug-14,17.40,17.48,17.23,17.43,19733501
13-Aug-14,17.48,17.48,17.32,17.42,26177837
12-Aug-14,17.15,17.41,17.14,17.21,25514846
11-Aug-14,17.17,17.24,17.11,17.17,17814865
