Date,Open,High,Low,Close,Volume
26-Nov-14,161.93,162.10,161.01,161.95,3967223
25-Nov-14,162.65,163.50,161.56,161.76,4062378
24-Nov-14,161.54,163.86,161.06,162.15,6619032
21-Nov-14,161.83,161.95,160.75,160.92,4076875
20-Nov-14,160.95,161.50,159.80,160.64,4183102
19-Nov-14,162.05,162.10,160.96,161.43,3802631
18-Nov-14,164.73,164.75,161.89,161.89,5412495
17-Nov-14,164.16,164.97,163.72,164.16,4798933
14-Nov-14,162.10,164.49,161.69,164.16,4978415
13-Nov-14,162.00,162.80,161.80,162.79,3239726
12-Nov-14,162.28,163.00,161.76,161.92,3378229
11-Nov-14,163.70,163.90,162.60,163.30,3535694
10-Nov-14,161.90,164.47,161.61,163.49,4958236
7-Nov-14,161.42,162.21,160.85,162.07,3494803
6-Nov-14,161.28,161.53,160.05,161.46,4067641
5-Nov-14,163.13,163.54,161.56,161.82,4104747
4-Nov-14,164.34,164.36,162.24,162.65,4247079
3-Nov-14,164.25,164.54,163.38,164.36,4690274
31-Oct-14,165.48,165.59,163.62,164.40,5818375
30-Oct-14,163.50,164.62,163.02,164.35,3895979
29-Oct-14,164.33,164.62,162.76,163.46,4741689
28-Oct-14,162.00,163.60,161.80,163.60,7896863
27-Oct-14,162.00,162.91,161.81,161.87,4989437
24-Oct-14,162.10,162.44,161.45,162.08,6652379
23-Oct-14,162.12,162.83,161.54,162.18,7600270
22-Oct-14,162.41,165.41,161.10,161.79,11091424
21-Oct-14,166.40,166.68,161.68,163.23,20953605
20-Oct-14,166.84,170.33,166.69,169.10,23416511
17-Oct-14,181.24,182.84,180.22,182.05,4354442
16-Oct-14,179.80,181.48,178.69,179.84,5578683
15-Oct-14,182.46,183.79,178.75,181.75,6897656
14-Oct-14,184.89,185.72,183.59,183.80,3924974
13-Oct-14,185.49,186.65,183.42,183.52,3599924
10-Oct-14,185.86,187.74,185.10,185.93,5090345
9-Oct-14,189.12,189.50,186.09,186.42,2625609
8-Oct-14,185.97,189.60,185.61,189.36,2985329
7-Oct-14,187.77,188.12,185.54,185.71,2994065
6-Oct-14,189.69,190.89,188.71,189.04,2100191
3-Oct-14,188.11,189.37,187.56,188.67,3071521
2-Oct-14,187.66,187.78,186.24,186.91,2283619
1-Oct-14,189.91,190.40,186.79,187.17,3723192
30-Sep-14,189.64,190.85,189.15,189.83,2932556
29-Sep-14,188.51,189.96,188.12,189.64,2344723
26-Sep-14,188.93,190.33,188.61,190.06,2494024
25-Sep-14,192.05,192.50,188.97,189.01,4158816
24-Sep-14,191.00,192.45,189.88,192.31,3082594
23-Sep-14,192.75,193.07,191.52,191.62,3301797
22-Sep-14,193.72,194.14,192.63,193.11,3317962
19-Sep-14,194.54,195.00,193.19,194.00,8854514
18-Sep-14,192.79,194.13,192.71,193.75,2963446
17-Sep-14,193.22,193.64,192.30,192.80,3214117
16-Sep-14,191.25,193.57,190.82,192.96,2561528
15-Sep-14,191.42,192.49,190.58,191.81,2457803
12-Sep-14,191.47,191.60,190.57,191.28,2900967
11-Sep-14,191.08,192.78,190.12,191.72,2299390
10-Sep-14,190.12,192.15,190.10,191.54,2765324
9-Sep-14,190.34,190.74,189.78,189.99,2403631
8-Sep-14,190.75,191.20,189.51,190.14,2525626
5-Sep-14,190.53,191.75,190.09,191.20,2261215
4-Sep-14,191.69,192.69,190.06,190.68,2868754
3-Sep-14,192.39,192.95,191.86,191.95,1824378
2-Sep-14,192.68,192.97,190.93,191.56,2679659
29-Aug-14,192.28,192.75,191.14,192.30,2911097
