Date,Open,High,Low,Close,Volume
26-Nov-14,43.99,44.36,43.97,44.29,9200463
25-Nov-14,44.27,44.59,44.12,44.43,10741655
24-Nov-14,44.51,44.78,44.20,44.27,12890827
21-Nov-14,44.58,44.74,44.28,44.50,14382672
20-Nov-14,43.96,44.42,43.85,44.25,13465446
19-Nov-14,43.67,44.43,43.56,44.22,25402296
18-Nov-14,42.95,43.86,42.75,43.53,26143194
17-Nov-14,42.75,42.99,42.73,42.92,10663996
14-Nov-14,42.70,42.97,42.50,42.73,10939478
13-Nov-14,42.65,43.08,42.63,42.79,12007696
12-Nov-14,42.51,42.89,42.31,42.71,12768769
11-Nov-14,42.38,42.71,42.36,42.51,8563691
10-Nov-14,42.25,42.57,42.09,42.39,9088938
7-Nov-14,42.45,42.46,42.14,42.32,11803792
6-Nov-14,42.43,42.62,42.11,42.29,11528817
5-Nov-14,42.30,42.54,41.99,42.31,20676761
4-Nov-14,41.77,42.05,41.66,41.82,10105358
3-Nov-14,41.79,42.28,41.59,41.81,13239536
31-Oct-14,41.83,41.89,41.40,41.88,18477684
30-Oct-14,41.00,41.59,40.83,41.40,18295604
29-Oct-14,40.65,41.03,40.52,40.96,25767750
28-Oct-14,40.76,40.86,40.51,40.56,18660970
27-Oct-14,40.70,40.90,40.56,40.76,17222528
24-Oct-14,40.98,41.27,40.92,41.03,13396421
23-Oct-14,40.94,41.38,40.74,40.86,23347181
22-Oct-14,40.19,41.11,40.10,40.62,27728233
21-Oct-14,40.80,41.19,40.26,40.68,55953509
20-Oct-14,42.75,43.47,42.71,43.29,17647782
17-Oct-14,42.69,43.03,42.31,42.88,23236041
16-Oct-14,42.65,42.94,42.38,42.56,22519282
15-Oct-14,42.70,43.53,42.70,43.23,22988937
14-Oct-14,44.04,44.12,43.47,43.64,21027832
13-Oct-14,44.28,44.63,44.03,44.07,20183940
10-Oct-14,43.88,44.87,43.85,44.47,25920757
9-Oct-14,44.44,44.75,43.87,43.87,25030528
8-Oct-14,43.58,44.56,43.51,44.55,26115610
7-Oct-14,43.48,44.14,43.48,43.92,24936592
6-Oct-14,43.03,43.68,42.97,43.60,20331446
3-Oct-14,42.86,43.07,42.66,43.00,14046676
2-Oct-14,42.60,42.78,42.42,42.66,16643440
1-Oct-14,42.55,42.85,42.37,42.74,30409720
30-Sep-14,42.10,42.81,42.08,42.66,22613730
29-Sep-14,41.90,42.26,41.88,42.25,12446707
26-Sep-14,42.00,42.25,41.71,42.20,9939569
25-Sep-14,42.06,42.17,41.77,41.78,11076728
24-Sep-14,41.85,42.34,41.85,42.27,13540935
23-Sep-14,42.00,42.16,41.88,41.89,10252374
22-Sep-14,41.85,42.25,41.73,42.22,11518108
19-Sep-14,41.98,42.34,41.75,42.05,47559738
18-Sep-14,41.75,41.88,41.55,41.79,12594172
17-Sep-14,41.77,41.78,41.32,41.61,16703094
