Date,Open,High,Low,Close,Volume
26-Nov-14,12.88,13.09,12.81,12.91,337213
25-Nov-14,12.98,13.00,12.72,12.84,513477
24-Nov-14,12.70,12.94,12.68,12.93,442769
21-Nov-14,12.91,12.94,12.58,12.70,511203
20-Nov-14,12.57,12.84,12.57,12.70,381754
19-Nov-14,12.75,12.75,12.41,12.65,455697
18-Nov-14,12.71,12.96,12.71,12.78,623641
17-Nov-14,12.90,13.03,12.65,12.69,629269
14-Nov-14,12.86,13.06,12.84,12.89,548263
13-Nov-14,13.10,13.25,12.82,12.87,493770
12-Nov-14,12.88,13.15,12.86,13.07,437292
11-Nov-14,12.83,12.98,12.80,12.96,453586
10-Nov-14,12.74,12.86,12.68,12.84,395726
7-Nov-14,12.81,12.87,12.66,12.76,823806
6-Nov-14,12.76,12.92,12.74,12.83,736301
5-Nov-14,12.89,12.98,12.72,12.79,826716
4-Nov-14,12.93,12.99,12.78,12.81,1405227
3-Nov-14,12.90,13.13,12.83,12.94,1300512
31-Oct-14,13.07,13.19,12.64,12.84,1822388
30-Oct-14,12.76,13.03,12.34,12.74,2021831
29-Oct-14,13.60,13.64,13.32,13.40,984475
28-Oct-14,13.24,13.64,13.18,13.61,1052382
27-Oct-14,12.85,13.15,12.65,13.11,715201
24-Oct-14,13.16,13.19,12.61,12.91,925444
23-Oct-14,12.72,13.45,12.72,13.12,1375354
22-Oct-14,12.93,12.94,12.57,12.62,735432
21-Oct-14,12.51,12.99,12.51,12.90,643078
20-Oct-14,12.17,12.54,12.17,12.47,1133963
17-Oct-14,12.67,12.70,12.21,12.25,624706
16-Oct-14,12.01,12.56,11.95,12.49,888792
15-Oct-14,11.91,12.31,11.82,12.22,951231
14-Oct-14,11.97,12.26,11.93,12.09,676988
13-Oct-14,11.87,12.04,11.73,11.85,1011566
10-Oct-14,11.97,12.20,11.86,11.86,844446
9-Oct-14,12.48,12.52,12.01,12.03,1042039
8-Oct-14,12.31,12.53,12.16,12.52,1127615
7-Oct-14,12.46,12.50,12.22,12.35,1347630
6-Oct-14,12.83,12.90,12.52,12.52,1090853
3-Oct-14,13.16,13.46,12.82,12.83,2044305
2-Oct-14,12.33,13.22,12.32,13.08,3313349
1-Oct-14,11.23,12.42,11.23,12.30,4009780
30-Sep-14,11.51,11.52,11.22,11.22,730355
29-Sep-14,11.37,11.52,11.37,11.50,555460
26-Sep-14,11.46,11.53,11.36,11.52,692264
25-Sep-14,11.53,11.58,11.31,11.46,1132653
24-Sep-14,11.57,11.60,11.45,11.55,537302
23-Sep-14,11.65,11.74,11.55,11.56,657553
22-Sep-14,11.84,11.85,11.72,11.74,596703
19-Sep-14,11.96,12.13,11.87,11.91,1714080
18-Sep-14,11.93,12.09,11.86,12.00,520421
17-Sep-14,11.92,11.98,11.79,11.87,430257
16-Sep-14,11.90,11.97,11.84,11.93,754277
15-Sep-14,12.01,12.07,11.85,11.93,804639
12-Sep-14,12.13,12.13,11.96,11.98,699785
11-Sep-14,12.10,12.36,12.01,12.13,1423445
10-Sep-14,12.26,12.28,12.11,12.20,680650
9-Sep-14,12.33,12.38,12.18,12.24,856582
8-Sep-14,12.38,12.46,12.28,12.36,498493
5-Sep-14,12.31,12.45,12.27,12.37,559807
4-Sep-14,12.38,12.46,12.26,12.35,750946
3-Sep-14,12.38,12.43,12.29,12.33,968108
2-Sep-14,12.37,12.45,12.19,12.33,810541
29-Aug-14,12.36,12.41,12.17,12.38,342013
28-Aug-14,12.33,12.41,12.25,12.35,469141
27-Aug-14,12.40,12.44,12.35,12.40,586156
26-Aug-14,12.34,12.42,12.27,12.39,532017
25-Aug-14,12.44,12.46,12.24,12.32,350915
22-Aug-14,12.41,12.46,12.32,12.38,556253
21-Aug-14,12.27,12.45,12.24,12.41,664054
20-Aug-14,12.25,12.33,12.20,12.29,426203
19-Aug-14,12.38,12.44,12.27,12.29,412068
