Date,Open,High,Low,Close,Volume
26-Nov-14,64.85,65.15,64.71,65.09,3136090
25-Nov-14,65.00,65.18,64.56,64.80,5337232
24-Nov-14,64.79,64.94,64.64,64.86,5138402
21-Nov-14,65.07,65.14,64.06,64.45,6106366
20-Nov-14,62.98,63.88,62.94,63.81,5173162
19-Nov-14,63.64,63.79,63.02,63.56,6017876
18-Nov-14,63.10,64.02,63.10,63.79,7047822
17-Nov-14,62.73,63.18,62.62,63.07,5018500
14-Nov-14,62.90,63.14,62.67,62.99,3319358
13-Nov-14,62.95,63.35,62.36,62.94,6462866
12-Nov-14,62.46,62.98,62.42,62.84,5005874
11-Nov-14,62.90,63.04,62.63,62.95,3649798
10-Nov-14,62.50,62.87,62.32,62.83,3171840
7-Nov-14,62.35,62.60,62.00,62.46,7450528
6-Nov-14,61.90,62.40,61.41,62.36,7852998
5-Nov-14,61.96,61.98,61.30,61.86,8873954
4-Nov-14,61.17,61.38,60.46,61.09,12751992
3-Nov-14,61.58,61.89,61.22,61.48,7323402
31-Oct-14,61.50,61.53,60.90,61.42,10982308
30-Oct-14,58.95,60.40,58.87,60.08,9729984
29-Oct-14,59.57,59.90,58.52,59.32,13137740
28-Oct-14,58.56,59.48,58.49,59.46,7469488
27-Oct-14,57.90,58.32,57.48,57.75,9638082
24-Oct-14,57.60,58.34,57.18,58.26,10844514
23-Oct-14,57.26,58.14,57.05,57.43,10042122
22-Oct-14,57.16,57.44,56.09,56.16,13311606
21-Oct-14,55.57,57.02,55.46,56.95,13807116
20-Oct-14,53.54,54.85,53.50,54.78,11136742
17-Oct-14,53.70,54.45,53.24,53.74,17110450
16-Oct-14,50.69,53.22,50.60,52.46,27345074
15-Oct-14,51.86,52.83,50.02,52.54,31947018
14-Oct-14,53.72,54.50,52.94,53.38,21850418
13-Oct-14,54.92,55.30,53.08,53.14,18051166
10-Oct-14,56.22,56.78,54.94,54.98,19962070
9-Oct-14,58.38,58.54,56.16,56.23,20764360
8-Oct-14,56.65,58.74,56.07,58.58,16524802
7-Oct-14,57.80,58.05,56.58,56.62,15829614
6-Oct-14,59.03,59.20,58.00,58.40,12094254
3-Oct-14,58.05,58.80,57.71,58.54,7714112
2-Oct-14,57.16,57.68,56.10,57.29,12254798
1-Oct-14,58.67,58.72,57.02,57.30,14405492
30-Sep-14,59.30,59.64,58.64,58.84,7652896
29-Sep-14,58.37,59.39,58.28,59.18,6891904
26-Sep-14,58.70,59.69,58.54,59.42,6093736
25-Sep-14,60.12,60.12,58.45,58.46,16153690
24-Sep-14,59.54,60.51,59.22,60.45,8297236
23-Sep-14,59.78,60.30,59.50,59.54,10411788
22-Sep-14,60.96,60.98,59.98,60.22,10697952
19-Sep-14,61.68,61.80,60.93,61.15,8483756
18-Sep-14,61.01,61.31,60.86,61.26,7498148
17-Sep-14,60.67,61.20,60.04,60.62,12096134
16-Sep-14,59.36,60.68,59.28,60.48,13977612
15-Sep-14,59.66,59.77,59.21,59.56,6769428
12-Sep-14,60.26,60.26,59.33,59.68,10352510
11-Sep-14,59.75,60.39,59.66,60.36,7746678
10-Sep-14,59.88,60.32,59.46,60.26,8441536
9-Sep-14,60.44,60.54,59.56,59.82,9713082
8-Sep-14,60.78,60.94,60.22,60.58,8168618
5-Sep-14,60.30,60.93,59.86,60.90,7778910
4-Sep-14,60.72,61.16,60.02,60.33,10224302
3-Sep-14,61.05,61.07,60.36,60.54,8064046
2-Sep-14,60.83,60.83,60.14,60.58,15572654
29-Aug-14,60.52,60.66,60.12,60.65,5975658
28-Aug-14,59.97,60.38,59.87,60.31,5899108
27-Aug-14,60.49,60.58,60.21,60.40,4153052
26-Aug-14,60.44,60.74,60.40,60.46,4570322
25-Aug-14,60.32,60.56,60.16,60.36,6595572
22-Aug-14,59.85,60.06,59.49,59.74,9453720
21-Aug-14,59.71,60.10,59.61,59.92,5576032
20-Aug-14,59.13,59.73,59.10,59.60,7076682
19-Aug-14,58.93,59.36,58.84,59.27,4401870
18-Aug-14,58.35,58.72,58.28,58.68,14027306
15-Aug-14,58.15,58.26,56.88,57.72,12064104
14-Aug-14,57.38,57.73,57.28,57.73,5014742
13-Aug-14,56.86,57.33,56.68,57.22,6530900
12-Aug-14,56.46,56.80,56.08,56.42,8044984
11-Aug-14,56.66,57.08,56.54,56.57,5406266
8-Aug-14,55.25,56.33,54.96,56.26,6775248
7-Aug-14,56.12,56.20,54.72,54.98,10818190
6-Aug-14,55.05,56.06,55.02,55.58,6993620
5-Aug-14,56.22,56.50,55.17,55.57,11174016
4-Aug-14,56.08,56.90,55.60,56.67,7885444
1-Aug-14,55.92,56.60,55.34,55.89,26741396
31-Jul-14,57.71,57.83,56.18,56.22,13755330
30-Jul-14,58.94,59.09,58.06,58.56,6335152
29-Jul-14,59.26,59.41,58.52,58.52,6054164
28-Jul-14,59.03,59.20,58.34,59.02,5472724
25-Jul-14,59.22,59.32,58.76,59.00,6072186
24-Jul-14,59.68,59.79,59.44,59.54,3928174
23-Jul-14,59.45,59.67,59.24,59.56,3416566
22-Jul-14,59.20,59.50,59.08,59.28,3978612
21-Jul-14,58.62,58.88,58.24,58.76,5904662
18-Jul-14,58.22,59.12,58.13,59.01,6261814
17-Jul-14,58.83,59.26,57.66,57.84,10784232
16-Jul-14,59.26,59.36,58.84,59.20,16227384
