Date,Open,High,Low,Close,Volume
26-Nov-14,104.51,106.44,101.46,102.06,1517396
25-Nov-14,105.34,106.00,103.73,104.53,1092874
24-Nov-14,102.72,105.16,102.61,104.54,1493308
21-Nov-14,103.30,103.50,101.72,102.42,813934
20-Nov-14,102.62,103.55,101.17,101.95,1254839
19-Nov-14,104.80,105.38,102.91,103.21,1000047
18-Nov-14,104.57,106.86,104.51,104.80,706285
17-Nov-14,105.17,106.78,103.45,104.16,697043
14-Nov-14,101.15,105.91,101.15,104.85,1059924
13-Nov-14,101.50,103.23,100.70,101.11,1546042
12-Nov-14,100.94,102.11,98.84,102.07,2260127
11-Nov-14,105.00,105.75,100.89,102.08,1747120
10-Nov-14,103.80,105.39,103.00,104.89,1404947
7-Nov-14,105.88,106.32,101.65,103.07,2273909
6-Nov-14,108.82,109.11,105.00,106.33,2562121
5-Nov-14,112.50,113.49,103.13,108.16,6619667
4-Nov-14,122.10,123.50,120.48,121.25,989974
3-Nov-14,120.36,125.00,119.51,122.57,1187605
31-Oct-14,117.06,120.50,116.25,120.36,1127612
30-Oct-14,115.32,116.96,114.13,115.41,842300
29-Oct-14,117.59,117.99,110.31,116.83,2628143
28-Oct-14,117.20,118.50,116.52,117.80,1092654
27-Oct-14,117.11,117.50,114.14,116.25,768074
24-Oct-14,117.90,118.75,116.99,117.53,500770
23-Oct-14,117.05,118.42,115.01,117.48,799035
22-Oct-14,116.68,117.76,114.64,115.82,1293212
21-Oct-14,118.51,121.20,117.40,119.98,756049
20-Oct-14,118.35,118.35,114.27,117.23,918979
17-Oct-14,118.50,120.76,117.06,118.15,888485
16-Oct-14,111.89,119.38,111.45,117.50,1241477
15-Oct-14,109.00,114.40,108.41,113.82,1005264
14-Oct-14,108.47,114.23,108.47,110.70,973337
13-Oct-14,105.70,109.98,104.86,107.19,1011134
10-Oct-14,110.44,112.11,105.57,105.67,1564671
9-Oct-14,116.90,117.25,111.49,112.19,1180853
8-Oct-14,114.39,117.75,113.08,117.39,795468
7-Oct-14,114.73,115.96,113.50,113.54,590130
6-Oct-14,117.70,118.00,114.38,114.98,491578
3-Oct-14,115.84,118.94,115.25,116.81,864242
2-Oct-14,116.92,118.47,112.89,115.05,1170696
1-Oct-14,120.62,120.99,113.72,116.26,2109826
30-Sep-14,122.35,122.74,120.00,120.78,589892
29-Sep-14,120.34,122.98,120.01,122.15,486530
26-Sep-14,121.03,122.66,121.01,122.13,535599
25-Sep-14,123.71,123.94,119.07,120.52,1137960
24-Sep-14,123.48,124.78,122.69,124.41,440321
23-Sep-14,120.33,124.04,120.33,122.50,721740
22-Sep-14,125.36,125.50,120.72,122.37,1121631
19-Sep-14,129.51,129.80,124.54,126.06,1418401
