Date,Open,High,Low,Close,Volume
26-Nov-14,121.99,122.00,121.41,121.70,291794
25-Nov-14,121.75,121.99,121.74,121.81,190176
24-Nov-14,121.49,121.74,121.30,121.46,660984
21-Nov-14,120.61,121.70,120.61,121.29,920484
20-Nov-14,119.75,120.03,119.51,119.72,162970
19-Nov-14,120.07,120.52,119.46,120.35,389663
18-Nov-14,119.68,120.39,119.57,120.07,332386
17-Nov-14,118.50,119.14,118.08,118.59,324060
14-Nov-14,119.58,119.88,119.23,119.82,214214
13-Nov-14,119.65,120.37,119.65,119.82,269844
12-Nov-14,118.74,118.94,118.11,118.79,252844
11-Nov-14,118.50,119.43,118.43,119.14,526112
10-Nov-14,117.81,118.29,117.50,117.97,429760
7-Nov-14,118.43,118.67,117.68,118.67,570783
6-Nov-14,119.52,119.98,119.02,119.83,435494
5-Nov-14,121.03,121.75,120.41,121.37,394133
4-Nov-14,119.50,119.72,118.31,119.40,569633
3-Nov-14,121.30,122.03,120.81,122.00,857749
31-Oct-14,119.05,121.44,118.50,121.35,1280631
30-Oct-14,114.80,116.30,114.79,115.86,194900
29-Oct-14,116.00,116.65,115.26,115.81,245793
28-Oct-14,114.65,115.10,114.11,115.10,389900
27-Oct-14,114.32,114.85,113.86,114.34,198460
24-Oct-14,114.41,114.65,113.87,114.51,312481
23-Oct-14,113.25,114.15,112.93,113.41,408288
22-Oct-14,113.11,113.42,112.20,112.27,413650
21-Oct-14,112.36,113.47,112.13,113.35,665387
20-Oct-14,112.33,113.50,112.30,113.31,408940
17-Oct-14,108.99,110.39,108.94,109.79,469117
16-Oct-14,108.99,110.84,108.62,110.18,441672
15-Oct-14,109.78,110.38,108.40,110.06,632551
14-Oct-14,111.94,112.04,111.26,111.62,759435
13-Oct-14,114.17,114.67,112.59,112.67,425679
10-Oct-14,115.01,115.75,113.85,113.97,448360
9-Oct-14,116.21,116.30,114.24,114.52,371177
8-Oct-14,115.58,116.35,114.23,116.26,445968
7-Oct-14,117.00,117.14,115.80,115.82,405140
6-Oct-14,116.61,117.22,116.41,116.70,339193
3-Oct-14,115.70,116.31,115.48,116.16,281533
2-Oct-14,115.02,115.18,113.64,114.48,507323
1-Oct-14,117.94,117.99,116.46,116.65,676844
30-Sep-14,117.90,118.11,117.04,117.53,481681
29-Sep-14,118.07,118.15,117.08,117.52,365739
26-Sep-14,118.24,118.80,118.11,118.65,271281
25-Sep-14,119.02,119.43,117.78,117.87,437848
24-Sep-14,118.06,118.91,118.03,118.85,272877
23-Sep-14,118.98,119.00,118.02,118.25,314509
22-Sep-14,119.11,119.81,118.91,119.01,409738
