Date,Day,Month,Year,Average,Volume
21-Jun-12,21,6,12,83.17,81626258
21-Jun-13,21,6,13,59.29,120297338
8-May-14,8,5,14,84.18,57574363
21-Jun-11,21,6,11,45.82,123343514
8-May-12,8,5,12,81.0,124312720
8-May-13,8,5,13,65.86,118149038
21-Jul-14,21,7,14,94.41,39079002
28-Feb-14,28,2,14,75.37,93074653
23-Mar-10,23,3,10,32.38,150607177
29-Sep-14,29,9,14,99.46,49766312
28-Feb-11,28,2,11,50.38,100768479
21-Jul-11,21,7,11,55.29,131629036
28-Feb-13,28,2,13,63.38,80628737
22-Apr-14,22,4,14,75.66,50664453
9-Oct-12,9,10,12,90.67,209648887
9-Oct-13,9,10,13,69.19,75431216
9-Oct-14,9,10,14,101.39,77376525
17-Jan-13,17,1,13,72.35,113412579
17-Jan-12,17,1,12,60.64,60724055
26-Apr-13,26,4,13,59.07,191068990
26-Apr-12,26,4,12,87.1,134016274
26-Apr-11,26,4,11,50.3,84400645
17-Jan-14,17,1,14,78.0,108426689
11-Mar-14,11,3,14,76.53,70198849
18-May-10,18,5,10,36.36,195668956
18-May-11,18,5,11,48.33,83693267
11-Mar-10,11,3,10,32.08,101424638
11-Mar-11,11,3,11,49.81,117770016
11-Mar-13,11,3,13,61.85,118558356
22-Oct-10,22,10,10,44.03,93193856
18-Nov-10,18,11,10,43.86,123622443
22-Oct-12,22,10,12,89.02,136682392
22-Oct-13,22,10,13,74.38,133515753
22-Oct-14,22,10,14,103.13,68263146
22-Sep-14,22,9,14,101.39,52788426
13-Apr-12,13,4,12,87.77,214911067
6-Jun-14,6,6,14,92.54,87620911
22-Apr-13,22,4,13,56.6,107479442
30-Jul-12,30,7,12,84.75,94784970
6-Apr-10,6,4,10,34.11,111754188
6-Jun-11,6,6,11,48.89,115484677
6-Jun-12,6,6,12,81.38,100362262
6-Jun-13,6,6,13,63.04,104268458
12-May-14,12,5,14,84.34,53324677
31-May-13,31,5,13,64.6,96075042
10-Feb-11,10,2,11,50.71,232137360
12-May-10,12,5,10,37.26,163594375
12-May-11,12,5,11,49.36,80239593
26-Feb-10,26,2,10,29.08,126865060
31-May-12,31,5,12,82.55,122977603
25-Apr-12,25,4,12,87.49,226427670
3-Nov-14,3,11,14,108.98,52282550
25-Apr-11,25,4,11,50.27,66636290
3-Nov-11,3,11,11,57.17,110381075
27-Dec-13,27,12,13,80.28,56471317
25-Apr-14,25,4,14,81.16,97568814
18-Sep-13,18,9,13,66.25,114215304
18-Sep-12,18,9,12,100.02,93375667
7-May-14,7,5,14,84.74,70715988
7-May-13,7,5,13,65.82,120938076
7-May-12,7,5,12,80.89,115073217
8-Mar-10,8,3,10,31.34,107472239
18-Sep-14,18,9,14,101.91,37299435
23-May-11,23,5,11,47.49,95627217
23-May-12,23,5,12,80.5,146224365
23-May-13,23,5,13,62.86,88345236
23-May-14,23,5,14,87.23,58052491
29-Sep-11,29,9,11,56.46,162841147
2-Oct-12,2,10,12,94.29,156997638
31-Jul-13,31,7,13,64.8,80739351
31-Jul-12,31,7,12,86.73,115581676
9-Mar-10,9,3,10,31.58,230064660
31-Jul-14,31,7,14,96.38,56842647
9-Mar-12,9,3,12,77.86,104724732
31-Dec-09,31,12,9,30.28,88102679
24-Dec-09,24,12,9,29.47,125221985
29-Jun-12,29,6,12,82.87,105360031
21-Feb-13,21,2,13,63.72,111795180
27-Apr-12,27,4,12,86.24,101692500
29-Jun-11,29,6,11,47.8,88179070
21-Feb-14,21,2,14,75.62,69757247
30-Jul-10,30,7,10,36.7,112113960
13-Dec-12,13,12,12,75.87,156314627
13-Dec-13,13,12,13,79.76,83205283
13-Dec-10,13,12,10,46.15,109953333
9-Jul-14,9,7,14,95.39,36436440
9-Jul-13,9,7,13,59.64,88172238
9-Jul-12,9,7,12,87.04,94850224
29-Dec-09,29,12,9,30.12,111301071
9-Jul-10,9,7,10,36.84,108393537
27-Oct-10,27,10,10,43.97,99750070
2-Aug-10,2,8,10,37.3,107021026
25-Mar-10,25,3,10,32.67,135816674
7-Dec-12,7,12,12,77.56,196941794
13-Jun-13,13,6,13,61.94,71528086
13-Jun-12,13,6,12,81.98,73443230
29-Apr-14,29,4,14,84.7,84344673
13-Nov-12,13,11,12,77.45,133302610
20-Apr-11,20,4,11,49.04,175163842
13-Nov-14,13,11,14,112.42,59522855
29-Apr-10,29,4,10,37.99,139709745
13-Jun-14,13,6,14,91.7,54525280
11-Dec-09,11,12,9,27.99,107443378
6-Oct-10,6,10,10,41.29,167716514
7-Oct-14,7,10,14,99.26,42094183
20-Nov-14,20,11,14,115.73,43395537
20-Nov-13,20,11,13,73.89,48545798
20-Nov-12,20,11,12,80.69,160687856
7-Oct-13,7,10,13,69.73,78073107
29-Nov-10,29,11,10,45.04,111439895
29-Nov-11,29,11,11,53.5,94007858
1-Jun-10,1,6,10,37.34,219118382
29-Aug-11,29,8,11,55.63,101313149
30-Apr-12,30,4,12,84.4,126535038
27-Sep-11,27,9,11,57.69,158124372
27-Sep-10,27,9,10,41.82,120774913
27-Sep-13,27,9,13,69.0,57009729
25-Jul-13,25,7,13,62.73,57420636
10-Jul-14,10,7,14,94.47,39685552
12-Sep-11,12,9,11,53.78,116957988
1-Feb-11,1,2,11,49.03,106657943
2-Dec-11,2,12,11,55.77,94818290
1-Feb-13,1,2,13,65.02,134867089
1-Feb-12,1,2,12,65.33,67510562
30-Oct-13,30,10,13,74.61,88540697
22-May-13,22,5,13,63.28,110814858
30-Oct-14,30,10,14,106.8,40654793
2-Jun-10,2,6,10,37.63,172136524
2-Jun-11,2,6,11,49.46,84721112
23-Jul-12,23,7,12,85.42,121993795
2-Jun-14,2,6,14,90.0,92337903
22-Apr-10,22,4,10,37.42,198355815
12-Aug-14,12,8,14,96.13,33795352
11-Aug-10,11,8,10,36.11,155013068
12-Aug-13,12,8,13,66.05,91108290
12-Aug-10,12,8,10,35.63,133729834
7-Dec-11,7,12,11,55.59,76249929
16-Jul-12,16,7,12,86.74,75326342
16-Jul-13,16,7,13,61.13,54134367
6-Aug-14,6,8,14,94.97,38558342
16-Nov-12,16,11,12,74.59,316722763
6-Aug-13,6,8,13,66.69,83728540
16-Jul-14,16,7,14,95.9,53502415
16-Nov-11,16,11,11,55.34,87302012
24-Mar-14,24,3,14,76.9,88924871
11-Sep-12,11,9,12,94.73,125984852
11-Sep-13,11,9,13,66.9,223526688
11-Sep-14,11,9,14,100.72,62399743
23-Apr-12,23,4,12,81.27,241629479
13-Feb-13,13,2,13,66.82,118801221
21-May-12,21,5,12,78.26,157772790
7-Dec-10,7,12,10,45.86,97863465
23-Apr-13,23,4,13,57.76,166058949
13-Feb-14,13,2,14,77.08,76960156
5-Jun-14,5,6,14,92.34,75951141
21-Jan-14,21,1,14,77.88,82255544
22-Dec-09,22,12,9,28.54,87378543
4-Jun-10,4,6,10,36.81,189610442
5-Jun-13,5,6,13,63.76,72647337
5-Jun-12,5,6,12,80.31,97053376
27-May-14,27,5,14,88.68,87216605
10-Mar-14,10,3,14,75.75,44691430
27-May-10,27,5,10,35.96,166575339
27-May-11,27,5,11,48.0,50912897
10-Mar-11,10,3,11,49.66,126972055
10-Mar-10,10,3,10,32.05,149054143
4-Nov-14,4,11,14,108.79,41574365
16-Dec-11,16,12,11,54.47,105394401
22-Sep-11,22,9,11,57.48,242120137
4-Nov-10,4,11,10,45.32,160621979
14-Aug-12,14,8,12,90.44,85041824
23-Jul-10,23,7,10,36.92,133346661
4-Nov-13,4,11,13,74.77,61157033
6-Sep-12,6,9,12,96.38,97845664
30-Mar-11,30,3,11,49.91,82351269
30-Mar-10,30,3,10,33.72,131827325
27-Jun-12,27,6,12,82.07,50764770
5-Sep-14,5,9,14,98.87,58457035
11-Jan-11,11,1,11,48.97,111019993
11-Jan-10,11,1,10,30.16,115557365
11-Jan-13,11,1,13,74.49,87688741
5-Sep-13,5,9,13,71.06,59091879
4-Sep-13,4,9,13,71.31,86257878
4-Sep-12,4,9,12,95.73,91972629
6-Mar-13,6,3,13,61.42,115062269
6-Mar-12,6,3,12,75.14,202559651
6-Mar-14,6,3,14,75.93,46423111
6-Dec-10,6,12,10,45.7,112120127
4-Sep-14,4,9,14,98.71,85718221
29-Oct-14,29,10,14,106.93,52687879
22-Jan-10,22,1,10,28.9,220441872
29-Oct-10,29,10,10,43.29,107627128
29-Oct-13,29,10,13,75.24,158952115
26-Dec-12,26,12,12,73.66,75609030
26-Dec-13,26,12,13,80.89,51002035
22-Nov-11,22,11,11,53.44,102324341
11-Jun-10,11,6,10,35.82,136439884
11-Jun-13,11,6,13,62.48,71426348
11-Jun-12,11,6,12,82.79,147815696
10-Dec-09,10,12,9,28.28,122417155
11-Jun-14,11,6,14,94.06,45681114
6-Apr-11,6,4,11,48.58,100634681
14-Jun-12,14,6,12,81.56,86460283
14-Jun-13,14,6,13,61.8,65672880
26-Nov-13,26,11,13,75.63,100345728
26-Nov-12,26,11,12,83.18,157644431
5-Oct-12,5,10,12,94.11,148501108
26-Nov-14,26,11,14,118.47,40831886
20-Oct-10,20,10,10,44.31,180406030
20-Oct-11,20,10,11,56.78,137382294
14-Jul-14,14,7,14,96.21,42810155
21-Nov-11,21,11,11,52.75,112050589
21-Nov-12,21,11,12,80.35,93306759
21-Nov-13,21,11,13,74.06,65506861
21-Nov-14,21,11,14,116.89,57179298
9-Dec-11,9,12,11,56.13,74285785
9-Dec-13,9,12,13,80.64,80123533
16-Mar-11,16,3,11,47.9,289187626
7-Sep-12,7,9,12,97.03,82416145
21-May-10,21,5,10,33.96,305976755
7-Sep-10,7,9,10,36.8,85706313
7-Sep-11,7,9,11,54.9,87643794
11-Feb-11,11,2,11,50.82,91892948
11-Feb-10,11,2,10,28.12,137585903
11-Feb-13,11,2,13,68.38,129358516
8-Oct-10,8,10,10,41.8,164600814
