Date,Day,Month,Year,Average,Volume
21-Jun-12,21,6,12,126.81,1777500
21-Jun-13,21,6,13,147.64,10968531
8-May-14,8,5,14,165.32,5997976
21-Jun-11,21,6,11,121.31,1037550
8-May-12,8,5,12,128.88,1554170
8-May-13,8,5,13,150.53,4087947
21-Jul-14,21,7,14,170.0,2886557
28-Feb-14,28,2,14,162.84,10013066
23-Mar-10,23,3,10,108.41,9105842
29-Sep-14,29,9,14,169.76,5170197
28-Feb-11,28,2,11,121.82,1090480
21-Jul-11,21,7,11,126.53,1365031
28-Feb-13,28,2,13,140.56,11400070
22-Apr-14,22,4,14,164.66,4046873
9-Oct-12,9,10,12,135.07,1116015
9-Oct-13,9,10,13,147.69,11082481
9-Oct-14,9,10,14,167.79,13390612
17-Jan-13,17,1,13,135.66,6231662
17-Jan-12,17,1,12,124.92,868811
26-Apr-13,26,4,13,146.77,3242580
26-Apr-12,26,4,12,131.24,855761
26-Apr-11,26,4,11,125.26,1020400
17-Jan-14,17,1,14,164.02,8014189
11-Mar-14,11,3,14,163.82,5221300
18-May-10,18,5,10,106.33,19225993
18-May-11,18,5,11,125.25,931292
11-Mar-10,11,3,10,105.86,7748824
11-Mar-11,11,3,11,119.92,1585544
11-Mar-13,11,3,13,144.02,4373292
22-Oct-10,22,10,10,111.45,3550447
18-Nov-10,18,11,10,111.81,7162007
22-Oct-12,22,10,12,132.87,1114112
22-Oct-13,22,10,13,154.24,7503562
22-Oct-14,22,10,14,165.26,6030932
22-Sep-14,22,9,14,171.84,4898383
13-Apr-12,13,4,12,128.85,1536394
6-Jun-14,6,6,14,168.81,4121571
22-Apr-13,22,4,13,145.13,11711968
30-Jul-12,30,7,12,130.46,625686
6-Apr-10,6,4,10,109.58,4411353
6-Jun-11,6,6,11,120.91,808557
6-Jun-12,6,6,12,122.95,1182304
6-Jun-13,6,6,13,149.55,15158447
12-May-14,12,5,14,166.57,3946694
31-May-13,31,5,13,152.09,7430025
10-Feb-11,10,2,11,121.9,1204819
12-May-10,12,5,10,108.66,12985457
12-May-11,12,5,11,126.37,1230778
26-Feb-10,26,2,10,103.26,6966913
31-May-12,31,5,12,123.86,1540818
25-Apr-12,25,4,12,130.52,1029548
3-Nov-14,3,11,14,173.44,5386924
25-Apr-11,25,4,11,124.52,712686
3-Nov-11,3,11,11,119.5,2178543
27-Dec-13,27,12,13,164.59,6177212
25-Apr-14,25,4,14,163.66,5104287
18-Sep-13,18,9,13,155.89,9665199
18-Sep-12,18,9,12,135.42,672588
7-May-14,7,5,14,164.5,5578718
7-May-13,7,5,13,149.94,5364417
7-May-12,7,5,12,129.76,849932
8-Mar-10,8,3,10,105.69,5732761
18-Sep-14,18,9,14,172.33,6459542
23-May-11,23,5,11,123.4,986432
23-May-12,23,5,12,124.07,1912187
23-May-13,23,5,13,152.31,10477550
23-May-14,23,5,14,165.55,2856996
29-Sep-11,29,9,11,111.3,3092143
2-Oct-12,2,10,12,134.72,1372582
31-Jul-13,31,7,13,155.14,11785926
31-Jul-12,31,7,12,130.07,610706
9-Mar-10,9,3,10,105.7,8672249
31-Jul-14,31,7,14,166.32,9041692
9-Mar-12,9,3,12,129.24,1138489
31-Dec-09,31,12,9,104.71,5196255
24-Dec-09,24,12,9,104.79,3567933
29-Jun-12,29,6,12,128.09,1364010
21-Feb-13,21,2,13,138.53,7522263
27-Apr-12,27,4,12,132.04,644281
29-Jun-11,29,6,11,122.14,1143020
21-Feb-14,21,2,14,161.03,5268349
30-Jul-10,30,7,10,104.29,11705921
13-Dec-12,13,12,12,132.16,3844622
13-Dec-13,13,12,13,157.57,8886480
13-Dec-10,13,12,10,114.66,4763178
9-Jul-14,9,7,14,169.34,3545054
9-Jul-13,9,7,13,152.68,5200623
9-Jul-12,9,7,12,127.22,745254
29-Dec-09,29,12,9,105.42,3357943
9-Jul-10,9,7,10,101.74,7378934
27-Oct-10,27,10,10,111.04,7612757
2-Aug-10,2,8,10,106.42,6852959
25-Mar-10,25,3,10,108.82,9530788
7-Dec-12,7,12,12,131.32,3993247
13-Jun-13,13,6,13,150.74,6208421
13-Jun-12,13,6,12,125.16,909534
29-Apr-14,29,4,14,164.84,4583714
13-Nov-12,13,11,12,127.8,964153
20-Apr-11,20,4,11,124.13,1471069
13-Nov-14,13,11,14,176.36,6508365
29-Apr-10,29,4,10,111.39,7472549
13-Jun-14,13,6,14,167.53,2709149
11-Dec-09,11,12,9,104.68,9239020
6-Oct-10,6,10,10,109.58,7220842
7-Oct-14,7,10,14,167.85,7130002
20-Nov-14,20,11,14,176.67,2881685
20-Nov-13,20,11,13,159.14,8401131
20-Nov-12,20,11,12,127.42,1478890
7-Oct-13,7,10,13,149.22,6083485
29-Nov-10,29,11,10,110.29,6044572
29-Nov-11,29,11,11,115.55,1053724
1-Jun-10,1,6,10,100.88,17013842
29-Aug-11,29,8,11,114.57,1381753
30-Apr-12,30,4,12,131.78,844556
27-Sep-11,27,9,11,112.18,2830031
27-Sep-10,27,9,10,108.39,3990299
27-Sep-13,27,9,13,152.18,6844930
25-Jul-13,25,7,13,154.78,5484765
10-Jul-14,10,7,14,168.47,4932065
12-Sep-11,12,9,11,109.43,2102510
1-Feb-11,1,2,11,119.64,7632691
2-Dec-11,2,12,11,120.71,1063310
1-Feb-13,1,2,13,139.49,5237382
1-Feb-12,1,2,12,127.07,2290759
30-Oct-13,30,10,13,156.21,6100193
22-May-13,22,5,13,153.51,12807221
30-Oct-14,30,10,14,170.69,7449244
2-Jun-10,2,6,10,101.63,14884630
2-Jun-11,2,6,11,122.4,2340006
23-Jul-12,23,7,12,126.4,927524
2-Jun-14,2,6,14,167.12,4453779
22-Apr-10,22,4,10,110.91,9947954
12-Aug-14,12,8,14,165.38,3274277
11-Aug-10,11,8,10,104.61,9496137
12-Aug-13,12,8,13,153.78,3698424
12-Aug-10,12,8,10,103.24,14562737
7-Dec-11,7,12,11,121.56,2538751
16-Jul-12,16,7,12,127.15,448167
16-Jul-13,16,7,13,154.39,3595111
6-Aug-14,6,8,14,163.94,4783762
16-Nov-12,16,11,12,125.26,1772612
6-Aug-13,6,8,13,155.0,3587415
16-Jul-14,16,7,14,170.96,3198635
16-Nov-11,16,11,11,119.75,1300035
24-Mar-14,24,3,14,162.7,6339916
11-Sep-12,11,9,12,132.93,688931
11-Sep-13,11,9,13,152.48,6996435
11-Sep-14,11,9,14,170.21,3026406
23-Apr-12,23,4,12,128.74,874598
13-Feb-13,13,2,13,139.99,3387704
21-May-12,21,5,12,124.19,974719
7-Dec-10,7,12,10,114.18,7621060
23-Apr-13,23,4,13,146.25,10436186
13-Feb-14,13,2,14,159.51,5094547
5-Jun-14,5,6,14,167.72,5416514
21-Jan-14,21,1,14,164.15,9427040
22-Dec-09,22,12,9,104.33,6850338
4-Jun-10,4,6,10,100.15,20050268
5-Jun-13,5,6,13,150.31,9430759
5-Jun-12,5,6,12,120.89,1069346
27-May-14,27,5,14,166.41,2562277
10-Mar-14,10,3,14,163.84,3999765
27-May-10,27,5,10,101.99,18333915
27-May-11,27,5,11,124.23,0
10-Mar-11,10,3,11,120.33,2749529
10-Mar-10,10,3,10,105.78,7330807
4-Nov-14,4,11,14,173.16,6465952
16-Dec-11,16,12,11,118.65,1394378
22-Sep-11,22,9,11,107.29,4134859
4-Nov-10,4,11,10,113.88,9356702
14-Aug-12,14,8,12,131.8,728189
23-Jul-10,23,7,10,103.7,13384177
4-Nov-13,4,11,13,156.05,4043078
6-Sep-12,6,9,12,131.99,1286902
30-Mar-11,30,3,11,123.18,853386
30-Mar-10,30,3,10,109.05,5781712
27-Jun-12,27,6,12,125.73,703848
5-Sep-14,5,9,14,170.77,3403608
11-Jan-11,11,1,11,116.55,5124155
11-Jan-10,11,1,10,106.35,6858294
11-Jan-13,11,1,13,134.55,4507988
5-Sep-13,5,9,13,149.26,6021768
4-Sep-13,4,9,13,148.61,4578200
4-Sep-12,4,9,12,130.34,733092
6-Mar-13,6,3,13,142.83,4485025
6-Mar-12,6,3,12,127.67,1988212
6-Mar-14,6,3,14,164.0,4658263
6-Dec-10,6,12,10,113.8,6181089
4-Sep-14,4,9,14,170.84,3761576
29-Oct-14,29,10,14,169.59,7587316
22-Jan-10,22,1,10,102.61,24615713
29-Oct-10,29,10,10,111.13,5972214
29-Oct-13,29,10,13,156.08,5783908
26-Dec-12,26,12,12,131.01,3983433
26-Dec-13,26,12,13,164.03,4971613
22-Nov-11,22,11,11,114.84,1633841
11-Jun-10,11,6,10,101.69,9072558
11-Jun-13,11,6,13,151.35,7009158
11-Jun-12,11,6,12,125.16,1263777
10-Dec-09,10,12,9,104.19,8043371
11-Jun-14,11,6,14,168.5,3065888
6-Apr-11,6,4,11,124.14,753409
14-Jun-12,14,6,12,125.88,1215865
14-Jun-13,14,6,13,151.16,4639220
26-Nov-13,26,11,13,160.62,5236551
26-Nov-12,26,11,12,129.24,4623292
5-Oct-12,5,10,12,136.0,1426207
26-Nov-14,26,11,14,177.93,3005627
20-Oct-10,20,10,10,110.65,7394606
20-Oct-11,20,10,11,115.0,2082611
14-Jul-14,14,7,14,170.27,2832043
21-Nov-11,21,11,11,115.46,1528305
21-Nov-12,21,11,12,127.89,4592307
21-Nov-13,21,11,13,159.55,4582399
21-Nov-14,21,11,14,178.02,4781965
9-Dec-11,9,12,11,121.2,1442585
9-Dec-13,9,12,13,160.28,3975579
16-Mar-11,16,3,11,116.96,3136161
7-Sep-12,7,9,12,132.86,710288
21-May-10,21,5,10,100.53,30848252
7-Sep-10,7,9,10,103.85,4208302
7-Sep-11,7,9,11,113.28,1670294
11-Feb-11,11,2,11,122.23,1015933
11-Feb-10,11,2,10,100.91,9937358
11-Feb-13,11,2,13,139.51,2543470
8-Oct-10,8,10,10,109.9,4813704
2-Jul-10,2,7,10,96.87,0
11-Feb-14,11,2,14,158.96,7623678
13-Apr-11,13,4,11,122.76,829845
23-Apr-10,23,4,10,111.59,13874967
24-Aug-12,24,8,12,130.8,679696
24-Aug-11,24,8,11,112.04,2132086
16-Mar-12,16,3,12,132.3,1391106
20-Sep-10,20,9,10,106.96,5261264
20-Sep-11,20,9,11,114.22,1560055
20-Sep-12,20,9,12,135.53,1550123
20-Sep-13,20,9,13,155.24,9380965
5-Nov-14,5,11,14,174.37,5286216
