Date,Day,Month,Year,Average,Volume
21-Jun-12,21,6,12,47.58,10077681
21-Jun-13,21,6,13,62.56,11892666
8-May-14,8,5,14,81.04,9258242
21-Jun-11,21,6,11,38.59,7814947
8-May-12,8,5,12,43.91,19681173
8-May-13,8,5,13,65.64,17807592
21-Jul-14,21,7,14,85.76,4800402
28-Feb-14,28,2,14,80.85,7031874
23-Mar-10,23,3,10,33.96,7037962
29-Sep-14,29,9,14,88.34,5190828
28-Feb-11,28,2,11,43.41,12565544
21-Jul-11,21,7,11,40.24,13469738
28-Feb-13,28,2,13,54.64,6607238
22-Apr-14,22,4,14,79.44,5876138
9-Oct-12,9,10,12,51.91,8072025
9-Oct-13,9,10,13,63.72,8746913
9-Oct-14,9,10,14,86.87,8727122
17-Jan-13,17,1,13,52.2,10132816
17-Jan-12,17,1,12,38.64,9142749
26-Apr-13,26,4,13,61.94,7038566
26-Apr-12,26,4,12,43.09,7713675
26-Apr-11,26,4,11,42.12,7291376
17-Jan-14,17,1,14,74.18,6688299
11-Mar-14,11,3,14,81.57,7174290
18-May-10,18,5,10,34.06,17396015
18-May-11,18,5,11,41.18,9953779
11-Mar-10,11,3,10,33.52,11398970
11-Mar-11,11,3,11,42.69,6960354
11-Mar-13,11,3,13,57.53,7155519
22-Oct-10,22,10,10,34.73,9599013
18-Nov-10,18,11,10,37.44,9520355
22-Oct-12,22,10,12,51.76,6131763
22-Oct-13,22,10,13,68.45,7860745
22-Oct-14,22,10,14,87.66,9314515
22-Sep-14,22,9,14,89.9,5003007
13-Apr-12,13,4,12,41.95,7315448
6-Jun-14,6,6,14,84.69,5302807
22-Apr-13,22,4,13,61.71,6308988
30-Jul-12,30,7,12,49.89,8890537
6-Apr-10,6,4,10,35.36,12637701
6-Jun-11,6,6,11,39.35,9193310
6-Jun-12,6,6,12,45.29,9495001
6-Jun-13,6,6,13,62.9,8666519
12-May-14,12,5,14,82.38,5704379
31-May-13,31,5,13,63.94,11282471
10-Feb-11,10,2,11,43.12,14829732
12-May-10,12,5,10,35.28,25533311
12-May-11,12,5,11,41.45,13098298
26-Feb-10,26,2,10,31.25,13449768
31-May-12,31,5,12,45.5,14658793
25-Apr-12,25,4,12,42.56,4927110
3-Nov-14,3,11,14,91.44,5447877
25-Apr-11,25,4,11,42.12,5157785
3-Nov-11,3,11,11,34.67,9276054
27-Dec-13,27,12,13,74.43,3844758
25-Apr-14,25,4,14,78.83,6193863
18-Sep-13,18,9,13,66.84,9866337
18-Sep-12,18,9,12,51.95,7100837
7-May-14,7,5,14,81.13,11907798
7-May-13,7,5,13,65.59,14539080
7-May-12,7,5,12,43.68,11785263
8-Mar-10,8,3,10,33.15,13177691
18-Sep-14,18,9,14,90.27,4343618
23-May-11,23,5,11,41.15,7965275
23-May-12,23,5,12,44.18,8876669
23-May-13,23,5,13,64.95,7536165
23-May-14,23,5,14,82.77,4580584
29-Sep-11,29,9,11,30.89,12114761
2-Oct-12,2,10,12,51.87,7244706
31-Jul-13,31,7,13,64.65,7155261
31-Jul-12,31,7,12,49.47,10503251
9-Mar-10,9,3,10,33.11,11072968
31-Jul-14,31,7,14,86.28,6343453
9-Mar-12,9,3,12,42.24,6896364
31-Dec-09,31,12,9,32.37,19652105
24-Dec-09,24,12,9,32.15,3557355
29-Jun-12,29,6,12,48.55,10303170
21-Feb-13,21,2,13,54.39,6802578
27-Apr-12,27,4,12,43.43,5903021
29-Jun-11,29,6,11,38.16,9615125
21-Feb-14,21,2,14,79.61,8253018
30-Jul-10,30,7,10,33.49,7805184
13-Dec-12,13,12,12,49.33,6108063
13-Dec-13,13,12,13,69.73,5785005
13-Dec-10,13,12,10,37.03,12361682
9-Jul-14,9,7,14,86.59,6317683
9-Jul-13,9,7,13,65.11,4556632
9-Jul-12,9,7,12,48.0,5597063
29-Dec-09,29,12,9,32.23,6242072
9-Jul-10,9,7,10,33.57,8530805
27-Oct-10,27,10,10,35.74,11755587
2-Aug-10,2,8,10,34.36,9948794
25-Mar-10,25,3,10,34.88,32708621
7-Dec-12,7,12,12,49.2,5279158
13-Jun-13,13,6,13,63.55,5584875
13-Jun-12,13,6,12,46.28,7317506
29-Apr-14,29,4,14,78.35,4608880
13-Nov-12,13,11,12,47.73,12272735
20-Apr-11,20,4,11,42.03,7420841
13-Nov-14,13,11,14,90.33,5098761
29-Apr-10,29,4,10,36.9,10576780
