Date,Day,Month,Year,Average,Volume
21-Jun-12,21,6,12,10.46,40062708
21-Jun-13,21,6,13,14.92,48242170
8-May-14,8,5,14,15.7,36794779
21-Jun-11,21,6,11,13.24,72508028
8-May-12,8,5,12,10.56,46195523
8-May-13,8,5,13,14.18,33340148
21-Jul-14,21,7,14,17.72,19200500
28-Feb-14,28,2,14,15.34,35692576
23-Mar-10,23,3,10,14.05,167002341
29-Sep-14,29,9,14,15.62,82938687
28-Feb-11,28,2,11,15.13,54120693
21-Jul-11,21,7,11,13.21,43706220
28-Feb-13,28,2,13,12.71,37696963
22-Apr-14,22,4,14,16.04,18916815
9-Oct-12,9,10,12,10.14,38244868
9-Oct-13,9,10,13,16.55,50838247
9-Oct-14,9,10,14,14.02,31768462
17-Jan-13,17,1,13,14.21,44299777
17-Jan-12,17,1,12,12.11,44398472
26-Apr-13,26,4,13,13.6,43817859
26-Apr-12,26,4,12,11.79,40894070
26-Apr-11,26,4,11,15.88,166852661
17-Jan-14,17,1,14,16.63,37283693
11-Mar-14,11,3,14,15.37,34681984
18-May-10,18,5,10,11.83,101318746
18-May-11,18,5,11,15.04,41282699
11-Mar-10,11,3,10,12.86,59385985
11-Mar-11,11,3,11,14.15,72258870
11-Mar-13,11,3,13,13.15,48696891
22-Oct-10,22,10,10,13.91,38003004
18-Nov-10,18,11,10,16.45,256937875
22-Oct-12,22,10,12,10.14,39149657
22-Oct-13,22,10,13,17.57,30226515
22-Oct-14,22,10,14,14.21,24285220
22-Sep-14,22,9,14,16.47,23800260
13-Apr-12,13,4,12,11.94,39707255
6-Jun-14,6,6,14,16.88,38583389
22-Apr-13,22,4,13,12.98,26089760
30-Jul-12,30,7,12,9.08,40966926
6-Apr-10,6,4,10,12.74,76423715
6-Jun-11,6,6,11,13.97,54183566
6-Jun-12,6,6,12,10.43,50461111
6-Jun-13,6,6,13,15.31,54820077
12-May-14,12,5,14,15.83,17164707
31-May-13,31,5,13,15.82,52118915
10-Feb-11,10,2,11,15.99,65334899
12-May-10,12,5,10,12.61,102656959
12-May-11,12,5,11,15.21,48857713
26-Feb-10,26,2,10,11.76,72368345
31-May-12,31,5,12,10.56,54328730
25-Apr-12,25,4,12,11.6,45185958
3-Nov-14,3,11,14,14.05,31589885
25-Apr-11,25,4,11,15.5,54777113
3-Nov-11,3,11,11,11.26,57802143
27-Dec-13,27,12,13,15.31,21841879
25-Apr-14,25,4,14,15.8,53874192
18-Sep-13,18,9,13,17.52,45175026
18-Sep-12,18,9,12,10.36,34945184
7-May-14,7,5,14,15.54,32181828
7-May-13,7,5,13,14.18,42076994
7-May-12,7,5,12,10.63,33246708
8-Mar-10,8,3,10,12.9,78903174
18-Sep-14,18,9,14,16.57,19453018
23-May-11,23,5,11,14.77,49541838
23-May-12,23,5,12,10.35,75648861
23-May-13,23,5,13,14.65,49131116
23-May-14,23,5,14,15.96,17004403
29-Sep-11,29,9,11,10.01,52634778
2-Oct-12,2,10,12,9.89,63638421
31-Jul-13,31,7,13,16.99,42167282
31-Jul-12,31,7,12,9.19,41384782
9-Mar-10,9,3,10,12.85,83934217
31-Jul-14,31,7,14,17.16,34170628
9-Mar-12,9,3,12,12.58,36162779
31-Dec-09,31,12,9,10.01,31253696
24-Dec-09,24,12,9,10.14,24895639
29-Jun-12,29,6,12,9.75,138158551
21-Feb-13,21,2,13,12.43,43735721
27-Apr-12,27,4,12,11.8,76455981
29-Jun-11,29,6,11,13.41,54119696
21-Feb-14,21,2,14,15.21,30089853
30-Jul-10,30,7,10,12.79,79539674
13-Dec-12,13,12,12,11.36,35445838
13-Dec-13,13,12,13,16.58,48535508
13-Dec-10,13,12,10,16.58,53899674
9-Jul-14,9,7,14,17.29,27036963
9-Jul-13,9,7,13,16.84,33770384
9-Jul-12,9,7,12,9.42,37441545
29-Dec-09,29,12,9,10.19,40821576
9-Jul-10,9,7,10,10.73,50732694
27-Oct-10,27,10,10,14.25,81025687
2-Aug-10,2,8,10,13.09,77124699
25-Mar-10,25,3,10,13.93,88909207
7-Dec-12,7,12,12,11.38,38411368
13-Jun-13,13,6,13,15.42,34327479
13-Jun-12,13,6,12,10.35,41384185
29-Apr-14,29,4,14,16.04,27163734
13-Nov-12,13,11,12,10.96,33348310
20-Apr-11,20,4,11,15.02,71006212
13-Nov-14,13,11,14,14.88,50292272
29-Apr-10,29,4,10,13.53,110114356
13-Jun-14,13,6,14,16.56,20323354
11-Dec-09,11,12,9,9.04,63474681
6-Oct-10,6,10,10,13.2,92325959
7-Oct-14,7,10,14,14.29,42850710
20-Nov-14,20,11,14,15.44,21163158
20-Nov-13,20,11,13,16.93,31087637
20-Nov-12,20,11,12,10.87,34745028
7-Oct-13,7,10,13,16.86,30339569
29-Nov-10,29,11,10,16.04,61577444
29-Nov-11,29,11,11,10.02,40449900
1-Jun-10,1,6,10,11.54,80977225
29-Aug-11,29,8,11,10.78,48857873
30-Apr-12,30,4,12,11.36,46156263
27-Sep-11,27,9,11,10.22,65062161
27-Sep-10,27,9,10,12.53,28805227
27-Sep-13,27,9,13,17.11,34024213
25-Jul-13,25,7,13,17.09,51596223
10-Jul-14,10,7,14,17.27,20165185
12-Sep-11,12,9,11,9.99,58351992
1-Feb-11,1,2,11,16.03,178894220
2-Dec-11,2,12,11,10.88,67252566
1-Feb-13,1,2,13,13.05,45225661
1-Feb-12,1,2,12,12.52,71668979
30-Oct-13,30,10,13,17.46,39898538
22-May-13,22,5,13,15.06,67177911
30-Oct-14,30,10,14,13.87,25505958
2-Jun-10,2,6,10,11.71,87265270
2-Jun-11,2,6,11,14.22,58588036
23-Jul-12,23,7,12,9.13,33779842
2-Jun-14,2,6,14,16.46,17975088
22-Apr-10,22,4,10,14.07,93331069
12-Aug-14,12,8,14,17.23,25514846
11-Aug-10,11,8,10,12.51,68132071
12-Aug-13,12,8,13,17.0,23170601
12-Aug-10,12,8,10,12.15,68017892
7-Dec-11,7,12,11,11.03,45168739
16-Jul-12,16,7,12,9.24,28840549
16-Jul-13,16,7,13,16.73,63282542
6-Aug-14,6,8,14,16.88,21872932
16-Nov-12,16,11,12,10.53,45346501
6-Aug-13,6,8,13,17.11,29013933
16-Jul-14,16,7,14,17.74,36065737
16-Nov-11,16,11,11,10.67,49001246
24-Mar-14,24,3,14,15.43,27033551
11-Sep-12,11,9,12,10.18,28165249
11-Sep-13,11,9,13,17.5,32865544
11-Sep-14,11,9,14,16.61,14670061
23-Apr-12,23,4,12,11.26,31311920
13-Feb-13,13,2,13,13.07,24513057
21-May-12,21,5,12,10.11,38137132
7-Dec-10,7,12,10,16.73,64104224
23-Apr-13,23,4,13,13.26,40082561
13-Feb-14,13,2,14,14.99,27131381
5-Jun-14,5,6,14,16.75,34825926
21-Jan-14,21,1,14,16.52,35695984
22-Dec-09,22,12,9,9.82,50860278
4-Jun-10,4,6,10,11.62,83480811
5-Jun-13,5,6,13,15.46,64862392
5-Jun-12,5,6,12,10.1,38326250
27-May-14,27,5,14,16.13,21034686
10-Mar-14,10,3,14,15.52,30529475
27-May-10,27,5,10,11.88,90700767
27-May-11,27,5,11,14.56,35654133
10-Mar-11,10,3,11,14.11,107253551
10-Mar-10,10,3,10,12.86,56850540
4-Nov-14,4,11,14,13.94,19695724
16-Dec-11,16,12,11,10.28,45999138
22-Sep-11,22,9,11,9.74,115851051
4-Nov-10,4,11,10,15.69,193231920
14-Aug-12,14,8,12,9.49,47635316
23-Jul-10,23,7,10,12.59,161608161
4-Nov-13,4,11,13,16.94,33974656
6-Sep-12,6,9,12,9.8,68002262
30-Mar-11,30,3,11,14.86,40931267
30-Mar-10,30,3,10,13.41,142055129
27-Jun-12,27,6,12,10.04,33283364
5-Sep-14,5,9,14,17.17,29801662
11-Jan-11,11,1,11,18.34,61312456
11-Jan-10,11,1,10,11.98,170626174
11-Jan-13,11,1,13,13.99,67646787
5-Sep-13,5,9,13,17.2,55979780
4-Sep-13,4,9,13,16.67,69543347
4-Sep-12,4,9,12,9.41,37964956
6-Mar-13,6,3,13,12.93,28953328
6-Mar-12,6,3,12,12.14,57374495
6-Mar-14,6,3,14,15.72,26660880
6-Dec-10,6,12,10,16.65,57290297
4-Sep-14,4,9,14,17.39,20733686
29-Oct-14,29,10,14,14.0,31263938
22-Jan-10,22,1,10,10.76,161530010
29-Oct-10,29,10,10,14.16,52281827
29-Oct-13,29,10,13,17.55,36931547
26-Dec-12,26,12,12,12.55,140331857
26-Dec-13,26,12,13,15.28,24966315
22-Nov-11,22,11,11,10.04,43750609
11-Jun-10,11,6,10,11.33,50280574
11-Jun-13,11,6,13,15.53,35334834
11-Jun-12,11,6,12,10.62,35811381
10-Dec-09,10,12,9,8.99,63643648
11-Jun-14,11,6,14,16.94,21409229
6-Apr-11,6,4,11,15.81,62322453
14-Jun-12,14,6,12,10.34,37539824
14-Jun-13,14,6,13,15.45,27152888
26-Nov-13,26,11,13,16.96,26440554
26-Nov-12,26,11,12,11.07,26831692
5-Oct-12,5,10,12,10.19,40696229
26-Nov-14,26,11,14,15.62,20010508
20-Oct-10,20,10,10,13.54,60800122
20-Oct-11,20,10,11,11.64,62145692
14-Jul-14,14,7,14,17.53,20455228
21-Nov-11,21,11,11,9.99,60890045
21-Nov-12,21,11,12,10.89,21184553
21-Nov-13,21,11,13,17.06,33051191
21-Nov-14,21,11,14,15.52,25609597
9-Dec-11,9,12,11,10.99,48326563
9-Dec-13,9,12,13,16.63,34379294
16-Mar-11,16,3,11,14.4,127903799
