Date,Day,Month,Year,Average,Volume
21-Jun-12,21,6,12,286.36,2011322
21-Jun-13,21,6,13,441.97,3982214
8-May-14,8,5,14,519.42,2452197
21-Jun-11,21,6,11,245.11,2765357
8-May-12,8,5,12,304.8,2678485
8-May-13,8,5,13,432.61,2468403
21-Jul-14,21,7,14,599.6,2240111
28-Feb-14,28,2,14,608.91,2314596
23-Mar-10,23,3,10,276.07,5501283
29-Sep-14,29,9,14,585.13,1144982
28-Feb-11,28,2,11,306.29,2284336
21-Jul-11,21,7,11,300.69,3469850
28-Feb-13,28,2,13,401.69,2265874
22-Apr-14,22,4,14,541.38,2331121
9-Oct-12,9,10,12,376.33,3003884
9-Oct-13,9,10,13,427.65,2653118
9-Oct-14,9,10,14,576.0,2413453
17-Jan-13,17,1,13,357.82,2212357
17-Jan-12,17,1,12,315.09,1909394
26-Apr-13,26,4,13,402.07,2488237
26-Apr-12,26,4,12,307.06,2093733
26-Apr-11,26,4,11,265.51,3530591
17-Jan-14,17,1,14,577.1,2766140
11-Mar-14,11,3,14,603.69,1715423
18-May-10,18,5,10,252.3,2830286
18-May-11,18,5,11,264.69,1954293
11-Mar-10,11,3,10,289.77,4235226
11-Mar-11,11,3,11,288.82,3029401
11-Mar-13,11,3,13,417.63,1595678
22-Oct-10,22,10,10,306.47,2256598
18-Nov-10,18,11,10,297.06,2590876
22-Oct-12,22,10,12,339.59,4057872
22-Oct-13,22,10,13,503.1,2211479
22-Oct-14,22,10,14,543.68,2974550
22-Sep-14,22,9,14,599.17,1785101
13-Apr-12,13,4,12,318.4,8163012
6-Jun-14,6,6,14,565.64,1740934
22-Apr-13,22,4,13,397.86,2883407
30-Jul-12,30,7,12,317.87,2186717
6-Apr-10,6,4,10,284.53,2060014
6-Jun-11,6,6,11,261.88,1942088
6-Jun-12,6,6,12,289.37,2096173
6-Jun-13,6,6,13,430.74,2579605
12-May-14,12,5,14,534.13,1949291
31-May-13,31,5,13,435.92,1969857
10-Feb-11,10,2,11,307.73,2336117
12-May-10,12,5,10,254.19,3852157
12-May-11,12,5,11,267.53,1448203
26-Feb-10,26,2,10,263.94,2049372
31-May-12,31,5,12,292.61,2969455
25-Apr-12,25,4,12,303.8,1821042
3-Nov-14,3,11,14,564.02,1544338
25-Apr-11,25,4,11,262.68,1629933
3-Nov-11,3,11,11,296.01,2669745
27-Dec-13,27,12,13,559.51,1570140
25-Apr-14,25,4,14,527.93,2372604
18-Sep-13,18,9,13,447.54,1937266
18-Sep-12,18,9,12,356.79,2067249
7-May-14,7,5,14,519.19,3074346
7-May-13,7,5,13,429.78,1967986
7-May-12,7,5,12,301.32,1994515
8-Mar-10,8,3,10,281.96,2386506
18-Sep-14,18,9,14,595.72,1494467
23-May-11,23,5,11,258.81,2252638
23-May-12,23,5,12,302.53,3178016
23-May-13,23,5,13,440.91,2279347
23-May-14,23,5,14,560.27,2672674
29-Sep-11,29,9,11,265.3,2907381
