Date,Day,Month,Year,Average,Volume
21-Jun-12,21,6,12,196.27,4316544
21-Jun-13,21,6,13,196.5,8918918
8-May-14,8,5,14,189.22,2431945
21-Jun-11,21,6,11,165.54,5388285
8-May-12,8,5,12,201.68,3881592
8-May-13,8,5,13,203.78,3602292
21-Jul-14,21,7,14,190.77,4154740
28-Feb-14,28,2,14,185.08,4668452
23-Mar-10,23,3,10,128.59,5979298
29-Sep-14,29,9,14,189.06,2344723
28-Feb-11,28,2,11,162.12,4773936
21-Jul-11,21,7,11,184.22,4959316
28-Feb-13,28,2,13,201.73,4689998
22-Apr-14,22,4,14,192.09,3878619
9-Oct-12,9,10,12,209.1,3580564
9-Oct-13,9,10,13,180.37,4424359
9-Oct-14,9,10,14,187.78,2625609
17-Jan-13,17,1,13,193.8,3893754
17-Jan-12,17,1,12,180.42,6003399
26-Apr-13,26,4,13,194.11,3490234
26-Apr-12,26,4,12,204.65,3304328
26-Apr-11,26,4,11,168.27,7267376
17-Jan-14,17,1,14,189.2,7671146
11-Mar-14,11,3,14,187.16,4229679
18-May-10,18,5,10,130.78,9332110
18-May-11,18,5,11,170.3,4157195
11-Mar-10,11,3,10,126.71,7929401
11-Mar-11,11,3,11,162.23,4271968
11-Mar-13,11,3,13,209.84,3049701
22-Oct-10,22,10,10,140.01,4105312
18-Nov-10,18,11,10,143.78,4238874
22-Oct-12,22,10,12,193.81,4404728
22-Oct-13,22,10,13,174.21,6980623
22-Oct-14,22,10,14,162.68,11091424
22-Sep-14,22,9,14,193.4,3317962
13-Apr-12,13,4,12,203.64,3768117
6-Jun-14,6,6,14,186.6,3296900
22-Apr-13,22,4,13,189.51,9847065
30-Jul-12,30,7,12,196.69,2787953
6-Apr-10,6,4,10,128.74,3926409
6-Jun-11,6,6,11,164.84,3619681
6-Jun-12,6,6,12,192.2,3645267
6-Jun-13,6,6,13,203.18,3679532
12-May-14,12,5,14,191.91,3778611
31-May-13,31,5,13,209.15,4950406
10-Feb-11,10,2,11,164.04,5737806
12-May-10,12,5,10,129.92,16629704
12-May-11,12,5,11,170.83,5142809
26-Feb-10,26,2,10,127.23,4784139
31-May-12,31,5,12,193.48,9290067
25-Apr-12,25,4,12,202.77,4003311
3-Nov-14,3,11,14,164.13,4690274
25-Apr-11,25,4,11,167.83,3584142
3-Nov-11,3,11,11,186.06,4953637
27-Dec-13,27,12,13,185.5,3382117
25-Apr-14,25,4,14,189.99,3871407
18-Sep-13,18,9,13,193.48,3841926
18-Sep-12,18,9,12,207.08,2476249
7-May-14,7,5,14,188.97,3821023
7-May-13,7,5,13,202.95,3450976
7-May-12,7,5,12,203.84,3375923
8-Mar-10,8,3,10,126.83,6199570
18-Sep-14,18,9,14,193.34,2963446
23-May-11,23,5,11,168.15,5150032
23-May-12,23,5,12,195.33,4066664
23-May-13,23,5,13,206.34,5180440
23-May-14,23,5,14,185.81,2563424
29-Sep-11,29,9,11,178.82,6944293
2-Oct-12,2,10,12,210.19,3320927
31-Jul-13,31,7,13,195.23,3809982
31-Jul-12,31,7,12,196.49,3507163
9-Mar-10,9,3,10,125.83,7529306
31-Jul-14,31,7,14,192.59,4208005
9-Mar-12,9,3,12,200.36,3178143
31-Dec-09,31,12,9,131.73,4225128
24-Dec-09,24,12,9,130.13,4265079
29-Jun-12,29,6,12,194.59,5262273
21-Feb-13,21,2,13,198.53,3923051
27-Apr-12,27,4,12,206.84,3311119
29-Jun-11,29,6,11,170.46,3817296
21-Feb-14,21,2,14,183.84,5699331
30-Jul-10,30,7,10,127.96,6025837
13-Dec-12,13,12,12,192.15,3623185
13-Dec-13,13,12,13,173.36,4184836
13-Dec-10,13,12,10,144.76,4741876
9-Jul-14,9,7,14,187.97,3309559
9-Jul-13,9,7,13,191.69,5204685
9-Jul-12,9,7,12,189.87,3988256
29-Dec-09,29,12,9,132.08,4184782
9-Jul-10,9,7,10,127.84,3898464
27-Oct-10,27,10,10,140.38,6467113
2-Aug-10,2,8,10,130.12,6437441
25-Mar-10,25,3,10,129.62,7605394
7-Dec-12,7,12,12,191.1,4091940
13-Jun-13,13,6,13,202.38,2899698
13-Jun-12,13,6,12,193.75,3247653
29-Apr-14,29,4,14,194.51,4626352
13-Nov-12,13,11,12,188.96,3407573
20-Apr-11,20,4,11,163.98,10901117
13-Nov-14,13,11,14,162.35,3239726
29-Apr-10,29,4,10,130.59,5786888
13-Jun-14,13,6,14,182.27,2778984
11-Dec-09,11,12,9,129.29,6599285
6-Oct-10,6,10,10,137.38,4782906
7-Oct-14,7,10,14,186.78,2994065
20-Nov-14,20,11,14,160.72,4183102
20-Nov-13,20,11,13,185.32,3646117
20-Nov-12,20,11,12,189.36,3170318
7-Oct-13,7,10,13,182.25,3968362
29-Nov-10,29,11,10,142.9,5040206
29-Nov-11,29,11,11,181.78,3662066
1-Jun-10,1,6,10,125.03,7136082
29-Aug-11,29,8,11,171.57,5294197
30-Apr-12,30,4,12,207.02,2773199
27-Sep-11,27,9,11,177.64,7640243
27-Sep-10,27,9,10,134.17,6155512
27-Sep-13,27,9,13,187.79,3907904
25-Jul-13,25,7,13,196.75,3014255
10-Jul-14,10,7,14,187.1,3177816
12-Sep-11,12,9,11,160.91,5247581
1-Feb-11,1,2,11,162.9,5834162
2-Dec-11,2,12,11,190.09,4962414
1-Feb-13,1,2,13,204.75,3371154
1-Feb-12,1,2,12,193.26,5089251
30-Oct-13,30,10,13,180.97,5275922
22-May-13,22,5,13,207.94,5187131
30-Oct-14,30,10,14,163.87,3895979
