Date,Day,Month,Year,Average,Volume
21-Jun-12,21,6,12,37.64,12803840
21-Jun-13,21,6,13,39.66,21941399
8-May-14,8,5,14,40.8,8538993
21-Jun-11,21,6,11,33.05,14264898
8-May-12,8,5,12,38.51,10579522
8-May-13,8,5,13,42.46,12636375
21-Jul-14,21,7,14,42.3,17607218
28-Feb-14,28,2,14,38.18,15765571
23-Mar-10,23,3,10,27.47,19082630
29-Sep-14,29,9,14,42.07,12446707
28-Feb-11,28,2,11,32.05,19381912
21-Jul-11,21,7,11,34.53,22085434
28-Feb-13,28,2,13,38.64,19011794
22-Apr-14,22,4,14,40.62,17405459
9-Oct-12,9,10,12,38.59,13078850
9-Oct-13,9,10,13,37.22,19001966
9-Oct-14,9,10,14,44.23,25030528
17-Jan-13,17,1,13,37.48,12122702
17-Jan-12,17,1,12,33.79,15576930
26-Apr-13,26,4,13,42.2,15164860
26-Apr-12,26,4,12,37.68,16782266
26-Apr-11,26,4,11,33.3,32710418
17-Jan-14,17,1,14,39.51,14027351
11-Mar-14,11,3,14,38.76,13845663
18-May-10,18,5,10,26.7,20437490
18-May-11,18,5,11,34.04,13429020
11-Mar-10,11,3,10,26.77,29154626
11-Mar-11,11,3,11,32.42,12015330
11-Mar-13,11,3,13,39.27,9201701
22-Oct-10,22,10,10,30.78,9535296
18-Nov-10,18,11,10,31.69,41436492
22-Oct-12,22,10,12,37.26,13342577
22-Oct-13,22,10,13,38.97,17110211
22-Oct-14,22,10,14,40.5,27728233
22-Sep-14,22,9,14,42.01,11518108
13-Apr-12,13,4,12,36.09,10525550
6-Jun-14,6,6,14,40.96,8760639
22-Apr-13,22,4,13,42.62,10552646
30-Jul-12,30,7,12,40.2,15947768
6-Apr-10,6,4,10,27.27,17604012
6-Jun-11,6,6,11,32.76,10442352
6-Jun-12,6,6,12,36.99,12496370
6-Jun-13,6,6,13,40.61,11171674
12-May-14,12,5,14,40.84,8906010
31-May-13,31,5,13,40.35,26204079
10-Feb-11,10,2,11,31.63,18361340
12-May-10,12,5,10,26.92,24005340
12-May-11,12,5,11,33.91,17104508
26-Feb-10,26,2,10,26.39,63096744
31-May-12,31,5,12,37.45,15157598
