Date,Day,Month,Year,Average,Volume
21-Jun-12,21,6,12,6.89,639352
21-Jun-13,21,6,13,10.46,2553263
8-May-14,8,5,14,15.3,1286914
21-Jun-11,21,6,11,8.29,2312429
8-May-12,8,5,12,6.04,1013439
8-May-13,8,5,13,9.32,897770
21-Jul-14,21,7,14,14.25,477676
28-Feb-14,28,2,14,16.16,1342270
23-Mar-10,23,3,10,11.23,1221969
29-Sep-14,29,9,14,11.44,555460
28-Feb-11,28,2,11,10.25,1248785
21-Jul-11,21,7,11,9.37,5362390
28-Feb-13,28,2,13,9.72,1589084
22-Apr-14,22,4,14,16.9,1014764
9-Oct-12,9,10,12,10.04,860502
9-Oct-13,9,10,13,12.06,1126356
9-Oct-14,9,10,14,12.26,1042039
17-Jan-13,17,1,13,8.46,1471627
17-Jan-12,17,1,12,8.05,1481431
26-Apr-13,26,4,13,9.15,1880039
26-Apr-12,26,4,12,6.39,914736
26-Apr-11,26,4,11,8.63,1547617
17-Jan-14,17,1,14,15.24,285266
11-Mar-14,11,3,14,16.75,1308458
18-May-10,18,5,10,9.31,2525951
18-May-11,18,5,11,7.53,5897905
11-Mar-10,11,3,10,11.61,994674
11-Mar-11,11,3,11,9.36,1921214
11-Mar-13,11,3,13,9.74,759202
22-Oct-10,22,10,10,7.65,1467054
18-Nov-10,18,11,10,7.94,1537575
22-Oct-12,22,10,12,10.73,1453378
22-Oct-13,22,10,13,13.67,1129600
22-Oct-14,22,10,14,12.76,735432
22-Sep-14,22,9,14,11.79,596703
13-Apr-12,13,4,12,6.31,1253606
6-Jun-14,6,6,14,15.23,536985
22-Apr-13,22,4,13,8.97,1310617
30-Jul-12,30,7,12,7.85,1202155
6-Apr-10,6,4,10,11.25,1510851
6-Jun-11,6,6,11,8.09,3110903
6-Jun-12,6,6,12,6.63,570694
6-Jun-13,6,6,13,10.14,886433
12-May-14,12,5,14,15.96,1113266
31-May-13,31,5,13,10.67,1119799
10-Feb-11,10,2,11,10.55,928742
12-May-10,12,5,10,9.53,2306711
12-May-11,12,5,11,7.72,1608751
26-Feb-10,26,2,10,10.94,1515612
31-May-12,31,5,12,6.66,1324807
25-Apr-12,25,4,12,6.43,1326908
3-Nov-14,3,11,14,12.95,1300512
25-Apr-11,25,4,11,8.76,2189260
3-Nov-11,3,11,11,7.58,1136747
27-Dec-13,27,12,13,15.51,388475
25-Apr-14,25,4,14,16.49,1055952
18-Sep-13,18,9,13,11.39,715142
18-Sep-12,18,9,12,9.61,1055262
7-May-14,7,5,14,15.39,970881
7-May-13,7,5,13,9.27,1058525
7-May-12,7,5,12,5.97,866850
8-Mar-10,8,3,10,11.79,787211
18-Sep-14,18,9,14,11.97,520421
23-May-11,23,5,11,7.56,1271318
23-May-12,23,5,12,6.21,914237
23-May-13,23,5,13,9.94,2483543
23-May-14,23,5,14,14.8,585702
29-Sep-11,29,9,11,5.97,2907587
2-Oct-12,2,10,12,9.76,573349
31-Jul-13,31,7,13,12.1,2106536
31-Jul-12,31,7,12,7.77,1169190
9-Mar-10,9,3,10,11.71,1231241
31-Jul-14,31,7,14,12.59,1035039
9-Mar-12,9,3,12,6.63,1128231
31-Dec-09,31,12,9,12.49,2164776
24-Dec-09,24,12,9,12.2,1037391
29-Jun-12,29,6,12,7.81,2097881
21-Feb-13,21,2,13,8.95,1325301
27-Apr-12,27,4,12,6.33,1333788
29-Jun-11,29,6,11,8.5,1512801
21-Feb-14,21,2,14,14.96,1177225
30-Jul-10,30,7,10,8.61,2592818
13-Dec-12,13,12,12,8.26,1018308
13-Dec-13,13,12,13,13.64,397222
13-Dec-10,13,12,10,9.5,3085686
9-Jul-14,9,7,14,14.99,409983
9-Jul-13,9,7,13,12.61,1279069
9-Jul-12,9,7,12,7.7,733743
29-Dec-09,29,12,9,12.21,1515571
9-Jul-10,9,7,10,8.94,1902164
27-Oct-10,27,10,10,7.65,1567970
2-Aug-10,2,8,10,9.14,1776218
25-Mar-10,25,3,10,11.2,1453888
7-Dec-12,7,12,12,8.33,373432
13-Jun-13,13,6,13,10.49,2557592
13-Jun-12,13,6,12,6.47,876782
29-Apr-14,29,4,14,16.05,600345
13-Nov-12,13,11,12,8.22,680124
20-Apr-11,20,4,11,9.14,1446375
13-Nov-14,13,11,14,13.01,493770
29-Apr-10,29,4,10,10.25,2222680
13-Jun-14,13,6,14,15.41,687848
11-Dec-09,11,12,9,9.15,1711783
6-Oct-10,6,10,10,7.78,1479246
7-Oct-14,7,10,14,12.38,1347630
20-Nov-14,20,11,14,12.67,381754
20-Nov-13,20,11,13,13.54,560773
20-Nov-12,20,11,12,8.07,942738
7-Oct-13,7,10,13,12.21,1220467
29-Nov-10,29,11,10,8.92,3728754
29-Nov-11,29,11,11,6.67,1436503
1-Jun-10,1,6,10,8.96,1752639
29-Aug-11,29,8,11,7.79,2450908
30-Apr-12,30,4,12,6.3,1189023
27-Sep-11,27,9,11,6.14,2399300
27-Sep-10,27,9,10,7.8,2116537
27-Sep-13,27,9,13,12.39,1420836
25-Jul-13,25,7,13,11.92,1230279
10-Jul-14,10,7,14,14.8,789391
12-Sep-11,12,9,11,7.0,2336550
1-Feb-11,1,2,11,10.28,1403071
2-Dec-11,2,12,11,7.67,1729640
1-Feb-13,1,2,13,8.86,1011090
1-Feb-12,1,2,12,7.57,1241488
30-Oct-13,30,10,13,13.7,1379263
22-May-13,22,5,13,10.04,3728004
30-Oct-14,30,10,14,12.72,2021831
2-Jun-10,2,6,10,8.94,2706841
2-Jun-11,2,6,11,7.67,3277812
23-Jul-12,23,7,12,7.18,726698
2-Jun-14,2,6,14,14.84,604433
22-Apr-10,22,4,10,12.35,5550151
12-Aug-14,12,8,14,12.33,704441
11-Aug-10,11,8,10,8.18,1719706
12-Aug-13,12,8,13,11.92,835388
12-Aug-10,12,8,10,7.84,2057267
7-Dec-11,7,12,11,7.85,3268895
16-Jul-12,16,7,12,7.46,697191
16-Jul-13,16,7,13,12.42,2058448
6-Aug-14,6,8,14,12.75,1331807
16-Nov-12,16,11,12,7.93,1128951
6-Aug-13,6,8,13,12.08,1575374
16-Jul-14,16,7,14,14.23,1193496
16-Nov-11,16,11,11,7.08,1415842
24-Mar-14,24,3,14,16.25,839634
11-Sep-12,11,9,12,9.51,1128863
11-Sep-13,11,9,13,11.4,364715
11-Sep-14,11,9,14,12.15,1423445
23-Apr-12,23,4,12,6.31,1487169
13-Feb-13,13,2,13,8.81,846882
21-May-12,21,5,12,6.22,662990
7-Dec-10,7,12,10,9.69,5115705
23-Apr-13,23,4,13,9.03,2509145
13-Feb-14,13,2,14,14.34,1215618
5-Jun-14,5,6,14,14.99,565067
21-Jan-14,21,1,14,15.33,488552
22-Dec-09,22,12,9,10.97,2698840
4-Jun-10,4,6,10,8.62,2055540
5-Jun-13,5,6,13,10.19,1319910
5-Jun-12,5,6,12,6.38,805099
27-May-14,27,5,14,15.09,826552
10-Mar-14,10,3,14,16.58,1072585
27-May-10,27,5,10,9.19,1281212
27-May-11,27,5,11,7.7,1681249
10-Mar-11,10,3,11,9.61,1843926
10-Mar-10,10,3,10,11.67,937668
4-Nov-14,4,11,14,12.88,1405227
16-Dec-11,16,12,11,7.51,1962172
22-Sep-11,22,9,11,5.84,3589269
4-Nov-10,4,11,10,8.35,3846507
14-Aug-12,14,8,12,9.12,1116443
23-Jul-10,23,7,10,9.15,1616284
4-Nov-13,4,11,13,13.7,647591
6-Sep-12,6,9,12,9.43,1735618
30-Mar-11,30,3,11,9.59,2533525
30-Mar-10,30,3,10,11.2,759646
27-Jun-12,27,6,12,7.15,3199584
5-Sep-14,5,9,14,12.35,559807
11-Jan-11,11,1,11,10.08,1868781
11-Jan-10,11,1,10,14.43,2946902
11-Jan-13,11,1,13,8.59,415105
5-Sep-13,5,9,13,11.19,609757
4-Sep-13,4,9,13,11.14,959770
4-Sep-12,4,9,12,9.27,983952
6-Mar-13,6,3,13,9.63,1508864
6-Mar-12,6,3,12,6.6,1913852
6-Mar-14,6,3,14,16.46,764705
6-Dec-10,6,12,10,9.25,3111180
4-Sep-14,4,9,14,12.36,750946
29-Oct-14,29,10,14,13.49,984475
22-Jan-10,22,1,10,12.66,2135715
29-Oct-10,29,10,10,7.67,1500351
29-Oct-13,29,10,13,13.73,1297672
26-Dec-12,26,12,12,8.4,732822
26-Dec-13,26,12,13,15.25,737555
22-Nov-11,22,11,11,6.91,1172824
11-Jun-10,11,6,10,9.07,1006665
11-Jun-13,11,6,13,10.2,1068599
11-Jun-12,11,6,12,6.61,1098048
10-Dec-09,10,12,9,9.04,4447800
11-Jun-14,11,6,14,15.73,824705
6-Apr-11,6,4,11,9.63,1435995
14-Jun-12,14,6,12,6.47,871752
14-Jun-13,14,6,13,10.63,1207467
26-Nov-13,26,11,13,13.73,1190782
26-Nov-12,26,11,12,8.12,795900
5-Oct-12,5,10,12,10.15,1371015
26-Nov-14,26,11,14,12.92,337213
20-Oct-10,20,10,10,7.7,2674871
20-Oct-11,20,10,11,6.88,2885364
14-Jul-14,14,7,14,14.51,742761
21-Nov-11,21,11,11,6.98,911222
21-Nov-12,21,11,12,8.07,850449
21-Nov-13,21,11,13,13.73,691322
21-Nov-14,21,11,14,12.78,511203
9-Dec-11,9,12,11,7.6,1380663
9-Dec-13,9,12,13,13.66,578578
16-Mar-11,16,3,11,8.92,1362913
7-Sep-12,7,9,12,9.57,868205
21-May-10,21,5,10,8.73,4005897
7-Sep-10,7,9,10,7.9,1431995
7-Sep-11,7,9,11,7.6,1746559
11-Feb-11,11,2,11,10.47,1320762
11-Feb-10,11,2,10,10.74,3828299
11-Feb-13,11,2,13,8.7,990867
8-Oct-10,8,10,10,7.85,3024514
2-Jul-10,2,7,10,8.59,1381124
11-Feb-14,11,2,14,14.29,645356
13-Apr-11,13,4,11,9.3,2357551
23-Apr-10,23,4,10,11.89,5955862
24-Aug-12,24,8,12,9.12,1028243
24-Aug-11,24,8,11,7.18,3176195
16-Mar-12,16,3,12,6.8,2352237
20-Sep-10,20,9,10,8.28,1531437
20-Sep-11,20,9,11,6.83,2543544
20-Sep-12,20,9,12,9.46,797082
20-Sep-13,20,9,13,11.63,2296876
5-Nov-14,5,11,14,12.85,826716
5-Nov-13,5,11,13,13.57,952474
5-Nov-12,5,11,12,8.66,2772365
25-Jun-10,25,6,10,9.34,3947336
31-Jan-12,31,1,12,7.49,1396211
25-Jul-11,25,7,11,9.01,1249575
25-Jul-12,25,7,12,7.07,1212389
13-Jan-14,13,1,14,14.93,555892
25-Jul-14,25,7,14,13.87,774399
13-Jan-12,13,1,12,7.96,1547986
13-Jan-11,13,1,11,10.23,1586815
13-Jan-10,13,1,10,13.85,2479648
27-Apr-10,27,4,10,10.79,4487524
7-Jul-10,7,7,10,8.55,3318114
10-Apr-12,10,4,12,6.34,1312376
10-Apr-13,10,4,13,9.52,906286
16-Dec-13,16,12,13,13.89,515487
5-Jul-11,5,7,11,8.85,3281272
10-Apr-14,10,4,14,16.01,876591
25-Apr-13,25,4,13,9.15,4039932
28-Feb-12,28,2,12,6.92,1135370
17-Jun-13,17,6,13,10.62,1072647
28-Dec-10,28,12,10,9.76,1467509
6-Feb-13,6,2,13,8.19,1963125
10-Jul-12,10,7,12,7.67,850122
11-May-10,11,5,10,9.27,2946898
11-May-12,11,5,12,6.47,1070131
6-Feb-14,6,2,14,14.33,1598816
16-May-11,16,5,11,7.38,2729650
28-Jan-13,28,1,13,9.01,559921
16-May-13,16,5,13,9.68,1549603
16-May-14,16,5,14,14.86,632620
28-Jan-14,28,1,14,14.58,719236
6-Feb-12,6,2,12,7.61,1095895
21-May-13,21,5,13,10.16,4686964
1-Jun-12,1,6,12,6.42,1500477
29-Dec-11,29,12,11,7.74,575480
8-Jun-10,8,6,10,8.35,1493388
3-Nov-10,3,11,10,7.79,2997995
4-May-12,4,5,12,5.97,1607707
8-Jun-11,8,6,11,8.02,3193029
1-Dec-10,1,12,10,9.17,2789302
1-Dec-11,1,12,11,7.35,1031394
14-Jul-10,14,7,10,9.53,1472107
9-Nov-12,9,11,12,8.31,1608646
26-Feb-13,26,2,13,9.24,1305790
11-Oct-13,11,10,13,12.28,1135600
10-May-12,10,5,12,6.46,1728477
23-Jan-13,23,1,13,8.73,774818
23-Jan-14,23,1,14,15.25,748973
9-Nov-11,9,11,11,7.04,1259136
14-Feb-14,14,2,14,14.44,670404
26-Feb-14,26,2,14,15.83,652480
10-Nov-14,10,11,14,12.78,395726
5-May-10,5,5,10,9.56,3190987
4-May-11,4,5,11,8.02,1417646
10-Nov-10,10,11,10,8.27,2363887
10-Nov-11,10,11,11,7.0,1037129
10-Jan-11,10,1,11,10.05,1391297
30-Jan-14,30,1,14,14.49,591766
10-Dec-13,10,12,13,13.54,545155
10-Dec-12,10,12,12,8.35,482432
30-Jan-12,30,1,12,7.71,1445126
30-Jan-13,30,1,13,8.77,558316
6-Aug-10,6,8,10,8.77,1282964
12-Oct-10,12,10,10,8.52,2160212
18-Dec-13,18,12,13,14.36,694263
18-Dec-12,18,12,12,8.54,1206846
3-Mar-14,3,3,14,16.23,841899
8-Sep-14,8,9,14,12.37,498493
8-Sep-11,8,9,11,7.52,1147449
3-Mar-11,3,3,11,10.81,1880731
18-Oct-11,18,10,11,6.75,1666335
15-Dec-11,15,12,11,7.54,777847
6-Jan-10,6,1,10,13.63,2580366
6-Jan-11,6,1,11,10.46,4256563
6-Jan-12,6,1,12,7.77,1377263
7-May-10,7,5,10,9.05,4248296
6-Jan-14,6,1,14,15.49,870123
4-Oct-13,4,10,13,12.29,788874
6-Jul-10,6,7,10,8.65,2083319
5-Feb-14,5,2,14,13.76,826235
4-Oct-12,4,10,12,9.85,1073155
5-Feb-10,5,2,10,11.8,2923081
26-Mar-13,26,3,13,9.95,786850
8-Aug-11,8,8,11,7.17,4867273
26-Apr-10,26,4,10,11.45,2237107
8-Aug-12,8,8,12,8.33,3168533
4-Aug-14,4,8,14,12.65,791580
11-Oct-12,11,10,12,10.41,2176604
12-Sep-13,12,9,13,11.29,962891
12-Sep-12,12,9,12,9.53,887602
4-Aug-10,4,8,10,9.0,727504
12-Sep-14,12,9,14,12.05,699785
17-Feb-11,17,2,11,10.46,1174148
14-Feb-13,14,2,13,8.92,1397946
13-Aug-10,13,8,10,7.8,1287452
13-Aug-13,13,8,13,12.12,1013476
