Date,Day,Month,Year,Average,Volume
21-Jun-12,21,6,12,26.5,2214630
21-Jun-13,21,6,13,84.15,917473
8-May-14,8,5,14,94.53,1320005
21-Jun-11,21,6,11,25.28,4237602
8-May-12,8,5,12,27.2,3026130
8-May-13,8,5,13,83.33,569786
21-Jul-14,21,7,14,103.56,528289
28-Feb-14,28,2,14,128.19,1833749
23-Mar-10,23,3,10,21.09,24323556
29-Sep-14,29,9,14,121.37,486530
28-Feb-11,28,2,11,26.71,3504562
21-Jul-11,21,7,11,27.2,4076622
28-Feb-13,28,2,13,63.03,1236443
22-Apr-14,22,4,14,103.48,1269531
9-Oct-12,9,10,12,31.0,1605280
9-Oct-13,9,10,13,93.14,1119139
9-Oct-14,9,10,14,114.46,1180853
17-Jan-13,17,1,13,85.86,607989
17-Jan-12,17,1,12,24.7,2588684
26-Apr-13,26,4,13,75.85,372901
26-Apr-12,26,4,12,28.61,1658630
26-Apr-11,26,4,11,27.36,2846044
17-Jan-14,17,1,14,122.58,1007861
11-Mar-14,11,3,14,113.35,1199227
18-May-10,18,5,10,19.66,69655144
18-May-11,18,5,11,27.05,2926842
11-Mar-10,11,3,10,20.21,23830468
11-Mar-11,11,3,11,25.62,5007558
11-Mar-13,11,3,13,69.53,414798
22-Oct-10,22,10,10,21.11,18525352
18-Nov-10,18,11,10,21.59,27548914
22-Oct-12,22,10,12,30.21,2762614
22-Oct-13,22,10,13,109.71,1063363
22-Oct-14,22,10,14,116.22,1293212
22-Sep-14,22,9,14,123.49,1121631
13-Apr-12,13,4,12,27.91,2414006
6-Jun-14,6,6,14,91.9,805159
22-Apr-13,22,4,13,70.88,358925
30-Jul-12,30,7,12,28.26,1718968
6-Apr-10,6,4,10,21.64,16297474
6-Jun-11,6,6,11,25.34,4313754
6-Jun-12,6,6,12,25.11,2300912
6-Jun-13,6,6,13,78.36,801391
12-May-14,12,5,14,89.16,1770693
31-May-13,31,5,13,86.64,716118
10-Feb-11,10,2,11,26.35,4960386
12-May-10,12,5,10,20.8,38862156
12-May-11,12,5,11,27.34,4122262
26-Feb-10,26,2,10,18.74,28406052
31-May-12,31,5,12,25.35,4156170
25-Apr-12,25,4,12,28.35,1798476
3-Nov-14,3,11,14,121.86,1187605
25-Apr-11,25,4,11,27.01,1401556
3-Nov-11,3,11,11,23.1,6266588
27-Dec-13,27,12,13,130.42,720749
25-Apr-14,25,4,14,100.53,882076
18-Sep-13,18,9,13,97.37,1366265
18-Sep-12,18,9,12,31.47,780190
7-May-14,7,5,14,95.5,1191757
7-May-13,7,5,13,82.86,534306
7-May-12,7,5,12,27.52,2212998
8-Mar-10,8,3,10,19.97,15757936
18-Sep-14,18,9,14,128.81,1478343
23-May-11,23,5,11,26.32,4581192
23-May-12,23,5,12,25.34,2928114
23-May-13,23,5,13,84.14,818787
23-May-14,23,5,14,94.56,1000556
29-Sep-11,29,9,11,20.02,8780014
2-Oct-12,2,10,12,30.88,1276400
31-Jul-13,31,7,13,88.93,683949
31-Jul-12,31,7,12,28.08,1834338
9-Mar-10,9,3,10,19.97,26822128
31-Jul-14,31,7,14,101.42,1220255
9-Mar-12,9,3,12,27.69,2431730
31-Dec-09,31,12,9,19.12,0
24-Dec-09,24,12,9,19.45,6593514
29-Jun-12,29,6,12,27.08,2051568
21-Feb-13,21,2,13,66.68,1182314
27-Apr-12,27,4,12,28.96,1358920
29-Jun-11,29,6,11,25.81,5119934
