Date,Day,Month,Year,Average,Volume
21-Jun-12,21,6,12,77.06,299719
21-Jun-13,21,6,13,119.07,765443
8-May-14,8,5,14,108.2,366537
21-Jun-11,21,6,11,80.52,403290
8-May-12,8,5,12,77.99,437714
8-May-13,8,5,13,118.44,946743
21-Jul-14,21,7,14,118.59,143856
28-Feb-14,28,2,14,115.31,307805
23-Mar-10,23,3,10,81.6,2025605
29-Sep-14,29,9,14,117.7,365739
28-Feb-11,28,2,11,93.28,763404
21-Jul-11,21,7,11,84.9,609471
28-Feb-13,28,2,13,102.66,538821
22-Apr-14,22,4,14,108.43,343934
9-Oct-12,9,10,12,76.19,294863
9-Oct-13,9,10,13,127.47,565419
9-Oct-14,9,10,14,115.32,371177
17-Jan-13,17,1,13,96.37,744763
17-Jan-12,17,1,12,67.8,459126
26-Apr-13,26,4,13,115.46,387604
26-Apr-12,26,4,12,81.43,199892
26-Apr-11,26,4,11,78.6,776673
17-Jan-14,17,1,14,119.38,407819
11-Mar-14,11,3,14,112.88,224207
18-May-10,18,5,10,76.31,540993
18-May-11,18,5,11,81.28,392766
11-Mar-10,11,3,10,76.53,1044361
11-Mar-11,11,3,11,85.45,1793484
11-Mar-13,11,3,13,104.0,174293
22-Oct-10,22,10,10,71.74,418155
18-Nov-10,18,11,10,77.25,992235
22-Oct-12,22,10,12,78.84,484408
22-Oct-13,22,10,13,131.34,344274
22-Oct-14,22,10,14,112.75,413650
22-Sep-14,22,9,14,119.21,409738
13-Apr-12,13,4,12,81.57,448200
6-Jun-14,6,6,14,114.94,370853
22-Apr-13,22,4,13,111.94,773536
30-Jul-12,30,7,12,75.41,187456
6-Apr-10,6,4,10,80.92,1190635
6-Jun-11,6,6,11,80.04,445078
6-Jun-12,6,6,12,76.44,397204
6-Jun-13,6,6,13,113.69,695631
12-May-14,12,5,14,109.0,347222
31-May-13,31,5,13,118.24,657000
10-Feb-11,10,2,11,89.67,2106506
12-May-10,12,5,10,78.14,994588
12-May-11,12,5,11,83.16,1659954
26-Feb-10,26,2,10,74.64,1691568
31-May-12,31,5,12,76.86,294779
