Date,Day,Month,Year,Average,Volume
21-Jun-12,21,6,12,28.05,843333
21-Jun-13,21,6,13,32.3,1463286
8-May-14,8,5,14,35.5,532973
21-Jun-11,21,6,11,37.2,693712
8-May-12,8,5,12,29.53,1269957
8-May-13,8,5,13,34.0,724307
21-Jul-14,21,7,14,36.66,458452
28-Feb-14,28,2,14,34.41,913698
23-Mar-10,23,3,10,36.61,140635
29-Sep-14,29,9,14,36.16,577648
28-Feb-11,28,2,11,39.42,432757
21-Jul-11,21,7,11,36.45,1015619
28-Feb-13,28,2,13,30.41,1161191
22-Apr-14,22,4,14,34.82,581236
9-Oct-12,9,10,12,28.52,1099089
9-Oct-13,9,10,13,33.98,853289
9-Oct-14,9,10,14,36.97,704907
17-Jan-13,17,1,13,30.05,1116088
17-Jan-12,17,1,12,28.37,1366359
26-Apr-13,26,4,13,33.17,671741
26-Apr-12,26,4,12,29.3,1039048
26-Apr-11,26,4,11,41.15,409704
17-Jan-14,17,1,14,37.58,998301
11-Mar-14,11,3,14,34.08,593662
18-May-10,18,5,10,37.33,550372
18-May-11,18,5,11,38.73,470800
11-Mar-10,11,3,10,35.52,153009
11-Mar-11,11,3,11,39.06,659712
11-Mar-13,11,3,13,30.89,538341
22-Oct-10,22,10,10,38.66,421907
18-Nov-10,18,11,10,36.57,894881
22-Oct-12,22,10,12,28.42,529956
22-Oct-13,22,10,13,35.44,939992
22-Oct-14,22,10,14,36.11,949808
22-Sep-14,22,9,14,36.81,619160
13-Apr-12,13,4,12,28.37,1285014
6-Jun-14,6,6,14,34.88,617374
22-Apr-13,22,4,13,32.37,841464
30-Jul-12,30,7,12,28.96,2063936
6-Apr-10,6,4,10,36.69,190824
6-Jun-11,6,6,11,37.72,857603
6-Jun-12,6,6,12,27.96,905829
6-Jun-13,6,6,13,33.4,1290897
12-May-14,12,5,14,35.88,808462
31-May-13,31,5,13,33.77,1812221
10-Feb-11,10,2,11,40.29,1382991
12-May-10,12,5,10,38.67,716333
12-May-11,12,5,11,39.11,757632
26-Feb-10,26,2,10,34.88,296712
31-May-12,31,5,12,27.59,1113051
25-Apr-12,25,4,12,29.17,1261741
3-Nov-14,3,11,14,37.19,651218
25-Apr-11,25,4,11,40.97,426260
3-Nov-11,3,11,11,29.22,1138162
27-Dec-13,27,12,13,38.02,257394
25-Apr-14,25,4,14,34.39,522113
18-Sep-13,18,9,13,35.18,735455
18-Sep-12,18,9,12,29.47,1011906
7-May-14,7,5,14,35.4,1092504
7-May-13,7,5,13,34.05,538159
7-May-12,7,5,12,29.52,1175862
8-Mar-10,8,3,10,35.49,302289
18-Sep-14,18,9,14,37.17,374725
23-May-11,23,5,11,38.0,720081
23-May-12,23,5,12,27.91,1302984
23-May-13,23,5,13,34.96,1238161
23-May-14,23,5,14,35.1,430038
29-Sep-11,29,9,11,27.88,1388881
2-Oct-12,2,10,12,28.93,841885
31-Jul-13,31,7,13,34.19,1217964
31-Jul-12,31,7,12,28.59,1766604
9-Mar-10,9,3,10,35.52,253075
31-Jul-14,31,7,14,37.84,1672904
9-Mar-12,9,3,12,28.71,844818
31-Dec-09,31,12,9,32.34,307672
24-Dec-09,24,12,9,32.02,62839
29-Jun-12,29,6,12,28.28,1143536
21-Feb-13,21,2,13,30.09,1363693
27-Apr-12,27,4,12,29.7,1163167
29-Jun-11,29,6,11,37.0,962229
21-Feb-14,21,2,14,34.39,864604
30-Jul-10,30,7,10,36.71,730165
13-Dec-12,13,12,12,28.99,695495
13-Dec-13,13,12,13,36.77,475340
13-Dec-10,13,12,10,37.07,488431
9-Jul-14,9,7,14,36.86,539110
9-Jul-13,9,7,13,33.02,1207588
9-Jul-12,9,7,12,28.35,1207425
29-Dec-09,29,12,9,32.3,236135
9-Jul-10,9,7,10,37.43,887114
27-Oct-10,27,10,10,38.33,708660
2-Aug-10,2,8,10,37.9,656068
25-Mar-10,25,3,10,36.1,169298
7-Dec-12,7,12,12,28.06,391281
13-Jun-13,13,6,13,32.97,1087803
13-Jun-12,13,6,12,27.9,832779
29-Apr-14,29,4,14,34.9,1290462
13-Nov-12,13,11,12,27.73,781329
20-Apr-11,20,4,11,41.16,539481
13-Nov-14,13,11,14,38.17,1783343
29-Apr-10,29,4,10,36.43,309886
13-Jun-14,13,6,14,35.37,541684
11-Dec-09,11,12,9,32.5,234948
6-Oct-10,6,10,10,38.42,811206
7-Oct-14,7,10,14,37.02,579713
20-Nov-14,20,11,14,38.07,374845
20-Nov-13,20,11,13,38.05,575737
20-Nov-12,20,11,12,27.11,1112205
7-Oct-13,7,10,13,34.23,845104
29-Nov-10,29,11,10,36.87,760560
29-Nov-11,29,11,11,26.31,1067858
1-Jun-10,1,6,10,35.52,713436
29-Aug-11,29,8,11,30.64,913911
30-Apr-12,30,4,12,29.71,859222
27-Sep-11,27,9,11,28.46,1540639
27-Sep-10,27,9,10,38.02,609847
27-Sep-13,27,9,13,35.26,500134
25-Jul-13,25,7,13,35.16,398619
10-Jul-14,10,7,14,36.77,909301
12-Sep-11,12,9,11,28.23,1113783
1-Feb-11,1,2,11,40.54,1843315
2-Dec-11,2,12,11,26.72,1317810
1-Feb-13,1,2,13,30.89,1192891
1-Feb-12,1,2,12,27.69,2049933
30-Oct-13,30,10,13,37.25,2459973
22-May-13,22,5,13,35.0,2061461
30-Oct-14,30,10,14,37.29,922996
2-Jun-10,2,6,10,35.58,631541
2-Jun-11,2,6,11,38.02,681578
23-Jul-12,23,7,12,28.19,1070910
2-Jun-14,2,6,14,35.11,553171
22-Apr-10,22,4,10,36.93,170277
12-Aug-14,12,8,14,37.63,710849
11-Aug-10,11,8,10,35.53,1058115
12-Aug-13,12,8,13,34.8,1569555
12-Aug-10,12,8,10,35.03,1095153
7-Dec-11,7,12,11,26.74,725577
16-Jul-12,16,7,12,28.85,420213
16-Jul-13,16,7,13,34.16,552355
6-Aug-14,6,8,14,37.17,659040
16-Nov-12,16,11,12,27.36,854144
6-Aug-13,6,8,13,34.3,855648
16-Jul-14,16,7,14,36.96,397629
16-Nov-11,16,11,11,28.28,989115
24-Mar-14,24,3,14,34.22,827986
11-Sep-12,11,9,12,28.41,645915
