Date,Day,Month,Year,Average,Volume
21-Jun-12,21,6,12,43.4,15742007
21-Jun-13,21,6,13,49.46,35022353
8-May-14,8,5,14,48.31,17359756
21-Jun-11,21,6,11,35.91,18676471
8-May-12,8,5,12,40.53,11314789
8-May-13,8,5,13,52.94,7373860
21-Jul-14,21,7,14,50.77,11338524
28-Feb-14,28,2,14,47.5,62319916
23-Mar-10,23,3,10,30.82,14429635
29-Sep-14,29,9,14,49.59,9218274
28-Feb-11,28,2,11,36.47,18196251
21-Jul-11,21,7,11,37.57,17646218
28-Feb-13,28,2,13,46.53,17162275
22-Apr-14,22,4,14,48.01,20830294
9-Oct-12,9,10,12,46.34,8758118
9-Oct-13,9,10,13,46.31,13270818
9-Oct-14,9,10,14,49.36,14909392
17-Jan-13,17,1,13,41.92,14210915
17-Jan-12,17,1,12,39.14,11718722
26-Apr-13,26,4,13,53.45,14327845
26-Apr-12,26,4,12,39.83,17696605
26-Apr-11,26,4,11,37.41,14879747
17-Jan-14,17,1,14,48.42,16016078
11-Mar-14,11,3,14,46.65,42641029
18-May-10,18,5,10,28.63,21470866
18-May-11,18,5,11,37.08,9432965
11-Mar-10,11,3,10,29.76,10990851
11-Mar-11,11,3,11,36.0,16821235
11-Mar-13,11,3,13,47.8,9541408
22-Oct-10,22,10,10,32.2,23989560
18-Nov-10,18,11,10,32.66,12864024
22-Oct-12,22,10,12,44.85,10691731
22-Oct-13,22,10,13,50.79,15220140
22-Oct-14,22,10,14,48.52,13315969
22-Sep-14,22,9,14,50.11,14728531
13-Apr-12,13,4,12,37.36,15657909
6-Jun-14,6,6,14,49.3,13919645
22-Apr-13,22,4,13,52.14,11213264
30-Jul-12,30,7,12,44.86,10605110
6-Apr-10,6,4,10,31.26,21093385
6-Jun-11,6,6,11,35.38,13838837
6-Jun-12,6,6,12,41.52,10711296
6-Jun-13,6,6,13,49.13,17673788
12-May-14,12,5,14,48.35,13582378
31-May-13,31,5,13,48.95,19672392
10-Feb-11,10,2,11,36.49,21800144
12-May-10,12,5,10,28.62,19405885
12-May-11,12,5,11,37.29,10237000
26-Feb-10,26,2,10,28.91,12739193
31-May-12,31,5,12,41.53,11669626
25-Apr-12,25,4,12,39.48,12578716
3-Nov-14,3,11,14,50.39,11575699
25-Apr-11,25,4,11,37.0,10231108
3-Nov-11,3,11,11,37.23,13818629
27-Dec-13,27,12,13,49.2,5373269
25-Apr-14,25,4,14,46.03,24431457
18-Sep-13,18,9,13,48.48,10958357
18-Sep-12,18,9,12,44.74,9088563
7-May-14,7,5,14,47.88,23606564
7-May-13,7,5,13,52.54,9629877
7-May-12,7,5,12,40.27,12063656
8-Mar-10,8,3,10,29.46,16038237
18-Sep-14,18,9,14,49.56,12464218
23-May-11,23,5,11,36.79,9106061
23-May-12,23,5,12,41.27,13805804
23-May-13,23,5,13,51.52,10342420
23-May-14,23,5,14,49.58,12052215
29-Sep-11,29,9,11,37.13,22175710
2-Oct-12,2,10,12,45.88,10326917
31-Jul-13,31,7,13,49.91,14436836
31-Jul-12,31,7,12,45.1,11605548
9-Mar-10,9,3,10,29.78,20303542
31-Jul-14,31,7,14,50.85,21258154
9-Mar-12,9,3,12,39.17,11756401
31-Dec-09,31,12,9,33.3,7487526
24-Dec-09,24,12,9,33.29,3392295
29-Jun-12,29,6,12,44.47,18467046
21-Feb-13,21,2,13,44.88,15118460
27-Apr-12,27,4,12,40.24,10340668
29-Jun-11,29,6,11,36.71,10322883
21-Feb-14,21,2,14,47.56,60839123
30-Jul-10,30,7,10,28.88,19105723
13-Dec-12,13,12,12,44.63,8306388
13-Dec-13,13,12,13,47.91,11903799
13-Dec-10,13,12,10,34.23,19916799
9-Jul-14,9,7,14,48.93,14438372
9-Jul-13,9,7,13,51.23,6738946
9-Jul-12,9,7,12,44.59,11190892
29-Dec-09,29,12,9,33.48,7790572
9-Jul-10,9,7,10,26.69,18328392
27-Oct-10,27,10,10,32.42,18991809
2-Aug-10,2,8,10,29.52,25041063
25-Mar-10,25,3,10,30.48,13527305
7-Dec-12,7,12,12,44.3,11139579
13-Jun-13,13,6,13,50.26,7147096
13-Jun-12,13,6,12,42.97,11263951
29-Apr-14,29,4,14,46.66,15552173
13-Nov-12,13,11,12,42.65,10385536
20-Apr-11,20,4,11,37.75,14945244
13-Nov-14,13,11,14,50.95,11267141
29-Apr-10,29,4,10,29.22,14873898
13-Jun-14,13,6,14,49.06,11121696
11-Dec-09,11,12,9,33.67,10435111
6-Oct-10,6,10,10,33.18,39172404
7-Oct-14,7,10,14,49.84,17252110
20-Nov-14,20,11,14,50.27,9856206
20-Nov-13,20,11,13,50.69,9640197
20-Nov-12,20,11,12,42.73,10819553
7-Oct-13,7,10,13,47.14,45152555
29-Nov-10,29,11,10,31.99,14912236
29-Nov-11,29,11,11,36.59,13962025
1-Jun-10,1,6,10,27.36,14446316
29-Aug-11,29,8,11,36.06,13381062
30-Apr-12,30,4,12,40.24,11165127
27-Sep-11,27,9,11,36.9,18013432
27-Sep-10,27,9,10,32.77,19804190
27-Sep-13,27,9,13,47.14,10311949
25-Jul-13,25,7,13,50.47,6488003
10-Jul-14,10,7,14,49.13,18425201
12-Sep-11,12,9,11,34.99,15458398
1-Feb-11,1,2,11,36.2,16353966
2-Dec-11,2,12,11,37.87,14106432
1-Feb-13,1,2,13,44.43,17702075
1-Feb-12,1,2,12,37.99,13334034
30-Oct-13,30,10,13,50.93,12593949
22-May-13,22,5,13,51.74,14028037
30-Oct-14,30,10,14,49.83,11979130
2-Jun-10,2,6,10,27.38,17796116
2-Jun-11,2,6,11,36.19,12699773
23-Jul-12,23,7,12,44.18,12504637
2-Jun-14,2,6,14,50.09,14365265
22-Apr-10,22,4,10,29.17,24910356
12-Aug-14,12,8,14,48.79,12325975
11-Aug-10,11,8,10,29.64,18474001
12-Aug-13,12,8,13,49.46,5507849
12-Aug-10,12,8,10,29.83,30888188
7-Dec-11,7,12,11,38.23,12145965
16-Jul-12,16,7,12,45.25,8267694
16-Jul-13,16,7,13,50.05,8841651
6-Aug-14,6,8,14,49.09,18996610
16-Nov-12,16,11,12,41.31,27896874
6-Aug-13,6,8,13,50.08,5226455
