Date,Open,High,Low,Close,Volume
26-Nov-14,38.76,39.05,38.76,38.96,377323
25-Nov-14,38.47,38.93,38.47,38.77,1952824
24-Nov-14,38.36,38.61,38.18,38.38,384320
21-Nov-14,38.54,38.56,38.15,38.27,422888
20-Nov-14,38.00,38.25,37.90,38.14,374845
19-Nov-14,37.96,38.28,37.82,38.05,482119
18-Nov-14,38.24,38.49,38.00,38.07,502824
17-Nov-14,38.25,38.73,38.23,38.47,891087
14-Nov-14,38.17,38.46,38.00,38.43,590082
13-Nov-14,38.33,38.37,37.92,38.08,1783343
12-Nov-14,37.92,38.42,37.82,38.24,710416
11-Nov-14,37.91,38.02,37.72,37.92,593600
10-Nov-14,37.78,38.02,37.60,37.96,867911
7-Nov-14,37.52,37.93,37.45,37.64,531842
6-Nov-14,37.87,38.01,37.46,37.48,507922
5-Nov-14,37.28,37.96,37.27,37.86,711898
4-Nov-14,37.01,37.30,36.81,37.24,543062
3-Nov-14,37.20,37.44,36.96,37.17,651218
31-Oct-14,37.42,37.54,37.08,37.22,926219
30-Oct-14,37.39,37.53,36.90,37.34,922996
29-Oct-14,37.58,37.82,37.20,37.35,1260799
28-Oct-14,37.35,37.58,37.10,37.58,597153
27-Oct-14,36.85,37.24,36.76,37.11,668419
24-Oct-14,36.20,37.01,36.20,36.95,871972
23-Oct-14,36.13,36.45,36.07,36.13,965610
22-Oct-14,36.15,36.40,35.94,35.95,949808
21-Oct-14,35.88,36.57,35.55,36.37,1580248
20-Oct-14,35.46,35.66,35.27,35.63,530974
17-Oct-14,35.59,35.75,35.27,35.46,891913
16-Oct-14,34.98,35.86,34.88,35.53,856882
15-Oct-14,35.37,35.79,34.98,35.77,1980363
14-Oct-14,35.52,36.20,35.43,35.67,1347101
13-Oct-14,36.27,36.72,36.21,36.22,818416
10-Oct-14,36.64,36.87,36.23,36.36,1523845
9-Oct-14,37.12,37.27,36.72,36.78,704907
8-Oct-14,36.83,37.22,36.64,37.19,690471
7-Oct-14,37.23,37.32,36.76,36.76,579713
6-Oct-14,37.32,37.61,37.13,37.40,866074
3-Oct-14,36.40,37.20,36.35,37.12,844623
2-Oct-14,36.50,36.57,35.95,36.51,717556
1-Oct-14,36.39,36.44,36.25,36.39,1097478
30-Sep-14,36.15,36.50,35.89,36.41,689476
29-Sep-14,36.10,36.36,35.92,36.28,577648
26-Sep-14,36.11,36.37,35.92,36.26,679053
25-Sep-14,36.02,36.61,35.35,36.15,577195
24-Sep-14,36.46,36.74,36.31,36.65,528328
23-Sep-14,36.75,36.82,36.40,36.56,558003
22-Sep-14,36.66,37.23,36.65,36.71,619160
19-Sep-14,37.34,37.38,36.56,37.00,1082451
18-Sep-14,37.12,37.37,36.99,37.21,374725
17-Sep-14,37.50,37.54,36.96,36.98,651145
16-Sep-14,37.52,37.76,37.34,37.52,453448
15-Sep-14,37.50,37.64,37.28,37.50,466586
12-Sep-14,37.68,37.85,37.45,37.56,546644
11-Sep-14,37.73,38.02,37.59,37.73,720124
10-Sep-14,37.91,38.13,37.77,37.96,318867
9-Sep-14,37.69,38.09,37.67,37.99,740439
8-Sep-14,38.23,38.23,37.81,37.87,389260
5-Sep-14,38.05,38.13,37.88,38.11,333076
4-Sep-14,38.16,38.31,38.06,38.12,408308
3-Sep-14,38.00,38.24,37.89,37.99,475187
2-Sep-14,37.78,38.00,37.78,37.89,363849
29-Aug-14,37.92,38.04,37.62,37.90,1634628
28-Aug-14,37.88,38.13,37.75,37.91,348236
27-Aug-14,37.71,38.08,37.65,38.02,489255
26-Aug-14,37.71,37.86,37.45,37.67,528256
25-Aug-14,37.51,37.71,37.49,37.62,492196
