Date,Open,High,Low,Close,Volume
26-Nov-14,49.37,50.17,49.32,50.04,11962119
25-Nov-14,49.34,49.52,48.91,49.34,13837213
24-Nov-14,49.55,49.89,48.86,49.50,17759794
21-Nov-14,50.53,50.54,49.70,50.21,19979610
20-Nov-14,50.41,50.52,49.96,50.19,9856206
19-Nov-14,51.00,51.03,50.29,50.49,15773152
18-Nov-14,51.42,51.42,51.06,51.22,8995807
17-Nov-14,51.41,51.48,51.14,51.40,6887136
14-Nov-14,51.26,51.73,51.18,51.50,12742088
13-Nov-14,50.66,51.29,50.64,51.20,11267141
12-Nov-14,50.35,51.02,50.30,50.82,9888652
11-Nov-14,50.94,50.95,50.33,50.61,9168951
10-Nov-14,50.72,51.05,50.15,50.72,17367589
7-Nov-14,50.33,50.87,50.12,50.86,14008697
6-Nov-14,50.37,50.38,49.67,50.28,13293223
5-Nov-14,50.69,50.98,49.93,50.34,11064097
4-Nov-14,50.41,50.92,50.13,50.33,14041958
3-Nov-14,50.49,50.65,50.05,50.39,11575699
31-Oct-14,50.42,50.50,50.07,50.25,17778466
30-Oct-14,49.63,50.28,49.50,49.90,11979130
29-Oct-14,50.05,50.25,49.55,49.83,11724487
28-Oct-14,49.70,50.03,49.61,49.96,13254560
27-Oct-14,48.78,49.54,48.73,49.42,13089753
24-Oct-14,48.22,49.11,48.10,48.77,13549502
23-Oct-14,48.58,48.60,47.85,48.22,15039242
22-Oct-14,48.69,48.84,48.26,48.31,13315969
21-Oct-14,48.09,48.85,47.95,48.69,22564467
20-Oct-14,48.06,48.55,47.81,48.48,13047384
17-Oct-14,47.80,48.19,47.61,48.07,18086282
16-Oct-14,47.41,48.04,47.03,47.67,19075679
15-Oct-14,47.74,48.07,46.89,47.92,27895541
14-Oct-14,48.48,48.68,48.10,48.22,18526969
13-Oct-14,49.05,49.46,48.36,48.37,19600483
10-Oct-14,49.00,49.50,48.94,48.94,19412480
9-Oct-14,49.78,49.89,48.84,48.93,14909392
8-Oct-14,49.15,49.87,48.95,49.87,15516084
7-Oct-14,49.99,50.03,49.67,49.68,17252110
6-Oct-14,49.95,50.26,49.92,50.08,11034363
3-Oct-14,49.70,49.83,49.50,49.71,12073538
2-Oct-14,49.70,49.73,49.20,49.29,14430319
1-Oct-14,49.73,49.95,49.40,49.43,16816120
30-Sep-14,49.67,50.24,49.60,49.99,13068936
29-Sep-14,49.62,49.79,49.21,49.75,9218274
26-Sep-14,49.57,49.91,49.31,49.77,9036184
25-Sep-14,50.10,50.20,49.43,49.61,13665820
24-Sep-14,49.98,50.15,49.82,50.07,11488562
23-Sep-14,50.09,50.15,49.78,49.91,10614468
22-Sep-14,50.11,50.32,49.83,50.18,14728531
19-Sep-14,50.04,50.38,49.83,50.35,30872034
18-Sep-14,49.48,49.72,49.37,49.69,12464218
17-Sep-14,49.05,49.48,48.95,49.21,16319524
16-Sep-14,48.54,49.14,48.52,48.96,13801011
15-Sep-14,48.49,48.60,48.30,48.56,12452246
12-Sep-14,49.00,49.00,48.26,48.40,15362323
11-Sep-14,48.65,49.08,48.33,49.01,13199570
10-Sep-14,49.03,49.07,48.37,48.75,14370286
9-Sep-14,49.42,49.52,48.80,48.90,14611440
8-Sep-14,49.87,49.88,49.35,49.53,9006018
5-Sep-14,49.73,50.03,49.56,49.94,11927378
4-Sep-14,49.93,49.94,49.51,49.72,9473532
3-Sep-14,49.94,50.00,49.69,49.88,9100935
2-Sep-14,49.82,50.00,49.50,49.77,8726415
29-Aug-14,49.43,49.82,49.40,49.82,11260146
28-Aug-14,49.38,49.50,49.20,49.41,8026665
27-Aug-14,49.29,49.46,49.21,49.43,11500786
26-Aug-14,49.21,49.29,49.02,49.25,10367139
25-Aug-14,48.68,49.16,48.68,49.15,9914242
22-Aug-14,48.83,48.98,48.52,48.64,9991932
21-Aug-14,48.86,49.15,48.73,48.87,10197214
20-Aug-14,48.82,48.97,48.60,48.82,10685680
19-Aug-14,49.03,49.04,48.27,48.70,17348706
18-Aug-14,49.05,49.14,48.64,48.78,12682058
15-Aug-14,48.90,49.05,48.50,48.80,16380737
14-Aug-14,49.02,49.02,48.81,49.00,11539256
13-Aug-14,49.00,49.02,48.76,48.92,10898177
12-Aug-14,48.80,48.95,48.56,48.84,12325975
11-Aug-14,48.89,49.04,48.61,48.67,11839202
8-Aug-14,48.73,49.10,48.20,48.70,15404388
7-Aug-14,49.16,49.32,48.45,48.65,12153308
6-Aug-14,49.40,49.45,48.36,49.13,18996610
5-Aug-14,50.15,50.20,49.50,49.66,11567207
4-Aug-14,50.04,50.30,49.64,50.21,11702943
1-Aug-14,50.52,50.52,49.83,49.83,18256602
31-Jul-14,51.26,51.38,50.35,50.42,21258154
30-Jul-14,51.94,52.15,51.42,51.76,12769235
29-Jul-14,53.19,53.66,51.88,51.97,32966125
28-Jul-14,51.26,51.58,51.18,51.58,9601109
25-Jul-14,51.07,51.48,51.07,51.28,11063240
24-Jul-14,50.96,51.45,50.71,51.05,17616157
23-Jul-14,50.98,51.20,50.78,50.91,11912994
22-Jul-14,50.98,51.14,50.41,50.98,15037383
